iso3c,country,AGRI.CENSUS_2016,AGRI.CENSUS_2017,AGRI.CENSUS_2018,AGRI.CENSUS_2019,SPI.D2.2.AGRI_2016,SPI.D2.2.AGRI_2017,SPI.D2.2.AGRI_2018,SPI.D2.2.AGRI_2019
GRC,Greece,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
GRD,Grenada,2012,2012,2012,2012,1,1,1,1
GTM,Guatemala,"2003, 2006","2003, 2006","2003, 2006","2003, 2006",1,0.5,0.5,0.5
GIN,Guinea,2001,2001,2001,2001,0.5,0.5,0.5,0.5
GNB,Guinea-Bissau,2009,2009,2009,2009,1,1,1,1
GUY,Guyana,2012,2012,2012,2012,1,1,1,1
HTI,Haiti,"2003, 2009","2003, 2009","2003, 2009","2003, 2009",1,1,1,1
HND,Honduras,2013,2013,2013,2013,1,1,1,1
HUN,Hungary,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
ISL,Iceland,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
IND,India,"2010, 2011","2010, 2011","2010, 2011","2010, 2011",1,1,1,1
IDN,Indonesia,"2010, 2013","2010, 2013","2010, 2013","2010, 2013",1,1,1,1
IRN,"Iran, Islamic Rep.",2014,2014,2014,2014,1,1,1,1
IRQ,Iraq,2014,2014,2014,2014,1,1,1,1
IRL,Ireland,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
ISR,Israel,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
ITA,Italy,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
JAM,Jamaica,"2007, 2011","2007, 2011","2007, 2011","2007, 2011",1,1,1,1
JPN,Japan,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
JOR,Jordan,"2007, 2015","2007, 2015","2007, 2015","2007, 2015",1,1,1,1
KAZ,Kazakhstan,2007,2007,2007,2007,1,1,0.5,0.5
KEN,Kenya,2009,2009,2009,2009,1,1,1,1
KIR,Kiribati,2015,2015,2015,2015,1,1,1,1
KOR,"Korea, Rep.","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
XKX,Kosovo,"2011, 2014","2011, 2014","2011, 2014","2011, 2014",1,1,1,1
KWT,Kuwait,2005,2005,2005,2005,0.5,0.5,0.5,0.5
KGZ,Kyrgyz Republic,2002,2002,2002,2002,0.5,0.5,0.5,0.5
LAO,Lao PDR,", 1999, 2011, 2015",", 1999, 2011, 2015",", 1999, 2011, 2015",", 1999, 2011, 2015",1,1,1,1
LVA,Latvia,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
LBN,Lebanon,2010,2010,2010,2010,1,1,1,1
LSO,Lesotho,"2000, 2010","2000, 2010","2000, 2010","2000, 2010",1,1,1,1
LBR,Liberia,2008,2008,2008,2008,1,1,1,0.5
LBY,Libya,2006,2006,2006,2006,1,0.5,0.5,0.5
LTU,Lithuania,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
LUX,Luxembourg,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
NA,"Macedonia, FYR",2007,2007,2007,2007,1,1,0.5,0.5
MDG,Madagascar,1993,1993,1993,1993,0,0,0,0
MWI,Malawi,2007,2007,2007,2007,1,1,0.5,0.5
MYS,Malaysia,"2010, 2016","2010, 2016","2010, 2016","2010, 2016",1,1,1,1
MDV,Maldives,2014,2014,2014,2014,1,1,1,1
MLI,Mali,2009,2009,2009,2009,1,1,1,1
MLT,Malta,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
MHL,Marshall Islands,2011,2011,2011,2011,1,1,1,1
MRT,Mauritania,2013,2013,2013,2013,1,1,1,1
MUS,Mauritius,"2011, 2014","2011, 2014","2011, 2014","2011, 2014",1,1,1,1
MEX,Mexico,2007,2007,2007,2007,1,1,0.5,0.5
FSM,"Micronesia, Fed. Sts.",2010,2010,2010,2010,1,1,1,1
MDA,Moldova,"2011, 2014","2011, 2014","2011, 2014","2011, 2014",1,1,1,1
MNG,Mongolia,2011,2011,2011,2011,1,1,1,1
MNE,Montenegro,2010,2010,2010,2010,1,1,1,1
MAR,Morocco,2014,2014,2014,2014,1,1,1,1
MOZ,Mozambique,"2007, 2010","2007, 2010","2007, 2010","2007, 2010",1,1,1,1
MMR,Myanmar,"2003, 2010","2003, 2010","2003, 2010","2003, 2010",1,1,1,1
NAM,Namibia,2014,2014,2014,2014,1,1,1,1
NRU,Nauru,2012,2012,2012,2012,1,1,1,1
NPL,Nepal,"2002, 2012","2002, 2012","2002, 2012","2002, 2012",1,1,1,1
NLD,Netherlands,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
NZL,New Zealand,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
NIC,Nicaragua,"2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
NER,Niger,"2008, 2012","2008, 2012","2008, 2012","2008, 2012",1,1,1,1
NGA,Nigeria,2006,2006,2006,2006,1,0.5,0.5,0.5
NOR,Norway,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
OMN,Oman,"2010, 2013","2010, 2013","2010, 2013","2010, 2013",1,1,1,1
PAK,Pakistan,"2000, 2010","2000, 2010","2000, 2010","2000, 2010",1,1,1,1
PLW,Palau,2015,2015,2015,2015,1,1,1,1
PAN,Panama,"2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
PNG,Papua New Guinea,2011,2011,2011,2011,1,1,1,1
PRY,Paraguay,"2008, 2012","2008, 2012","2008, 2012","2008, 2012",1,1,1,1
PER,Peru,"2007, 2012","2007, 2012","2007, 2012","2007, 2012",1,1,1,1
PHL,Philippines,"2003, 2012","2003, 2012","2003, 2012","2003, 2012",1,1,1,1
POL,Poland,"2002, 2010","2002, 2010","2002, 2010","2002, 2010",1,1,1,1
PRT,Portugal,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
QAT,Qatar,2010,2010,2010,2010,1,1,1,1
ROU,Romania,"2003, 2010","2003, 2010","2003, 2010","2003, 2010",1,1,1,1
RUS,Russian Federation,"2006, 2010","2006, 2010","2006, 2010","2006, 2010",1,1,1,1
RWA,Rwanda,2012,2012,2012,2012,1,1,1,1
WSM,Samoa,2009,2009,2009,2009,1,1,1,1
SMR,San Marino,2010,2010,2010,2010,1,1,1,1
NA,São Tomé and Principe,2012,2012,2012,2012,1,1,1,1
SAU,Saudi Arabia,"2010, 2015","2010, 2015","2010, 2015","2010, 2015",1,1,1,1
SEN,Senegal,"2013, 2016","2013, 2016","2013, 2016","2013, 2016",1,1,1,1
SRB,Serbia,2012,2012,2012,2012,1,1,1,1
SYC,Seychelles,2011,2011,2011,2011,1,1,1,1
SLE,Sierra Leone,2015,2015,2015,2015,1,1,1,1
SGP,Singapore,2010,2010,2010,2010,1,1,1,1
SVK,Slovak Republic,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
SVN,Slovenia,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
SLB,Solomon Islands,2009,2009,2009,2009,1,1,1,1
SOM,Somalia,1987,1987,1987,1987,0,0,0,0
ZAF,South Africa,"2007, 2011","2007, 2011","2007, 2011","2007, 2011",1,1,1,1
SSD,South Sudan,2008,2008,2008,2008,1,1,1,0.5
ESP,Spain,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
LKA,Sri Lanka,"2002, 2014","2002, 2014","2002, 2014","2002, 2014",1,1,1,1
KNA,St. Kitts and Nevis,2011,2011,2011,2011,1,1,1,1
LCA,St. Lucia,"2007, 2010","2007, 2010","2007, 2010","2007, 2010",1,1,1,1
VCT,St. Vincent and the Grenadines,"2000, 2012","2000, 2012","2000, 2012","2000, 2012",1,1,1,1
SDN,Sudan,2008,2008,2008,2008,1,1,1,0.5
SUR,Suriname,"2009, 2012","2009, 2012","2009, 2012","2009, 2012",1,1,1,1
SWE,Sweden,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
CHE,Switzerland,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
SYR,Syrian Arab Republic,2004,2004,2004,2004,0.5,0.5,0.5,0.5
TJK,Tajikistan,"2010, 2013","2010, 2013","2010, 2013","2010, 2013",1,1,1,1
TZA,Tanzania,"2008, 2015","2008, 2015","2008, 2015","2008, 2015",1,1,1,1
THA,Thailand,"2003, 2013","2003, 2013","2003, 2013","2003, 2013",1,1,1,1
TLS,Timor-Leste,2015,2015,2015,2015,1,1,1,1
TGO,Togo,"2010, 2014","2010, 2014","2010, 2014","2010, 2014",1,1,1,1
TON,Tonga,"2001, 2015","2001, 2015","2001, 2015","2001, 2015",1,1,1,1
TTO,Trinidad and Tobago,"2004, 2011","2004, 2011","2004, 2011","2004, 2011",1,1,1,1
TUN,Tunisia,2014,2014,2014,2014,1,1,1,1
TUR,Turkey,2001,2001,2001,2001,0.5,0.5,0.5,0.5
TKM,Turkmenistan,2012,2012,2012,2012,1,1,1,1
TUV,Tuvalu,2012,2012,2012,2012,1,1,1,1
UGA,Uganda,"2008, 2009","2008, 2009","2008, 2009","2008, 2009",1,1,1,1
UKR,Ukraine,2001,2001,2001,2001,0.5,0.5,0.5,0.5
ARE,United Arab Emirates,2012,2012,2012,2012,1,1,1,1
GBR,United Kingdom,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
USA,United States,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
URY,Uruguay,"2000, 2011","2000, 2011","2000, 2011","2000, 2011",1,1,1,1
UZB,Uzbekistan,1989,1989,1989,1989,0,0,0,0
VUT,Vanuatu,"2006, 2007, 2008","2006, 2007, 2008","2006, 2007, 2008","2006, 2007, 2008",1,1,1,0.5
VEN,"Venezuela, RB","2008, 2011","2008, 2011","2008, 2011","2008, 2011",1,1,1,1
VNM,Vietnam,"2001, 2006, 2011","2001, 2006, 2011","2001, 2006, 2011","2001, 2006, 2011",1,1,1,1
PSE,West Bank and Gaza,"2007, 2010","2007, 2010","2007, 2010","2007, 2010",1,1,1,1
YEM,"Yemen, Rep.",2002,2002,2002,2002,0.5,0.5,0.5,0.5
ZMB,Zambia,2010,2010,2010,2010,1,1,1,1
ZWE,Zimbabwe,2012,2012,2012,2012,1,1,1,1
