iso3c,country,EMPL_2016,EMPL_2017,EMPL_2018,SPI.D1.6.EMPL_2016,SPI.D1.6.EMPL_2017,SPI.D1.6.EMPL_2018
HRV,Croatia,ICSE-93,ICSE-93,ICSE-93,1,1,1
CYP,Cyprus,na,ISCO-08,ISCO-08,0,0,0
CZE,Czech Republic,NACE Rev2,NA,NA,0,0,0
DNK,Denmark,NACE Rev2/ ISCO 08,ISCO 08,ISCO 08,0,0,0
DJI,Djibouti,na,NA,NA,0,0,0
DMA,Dominica,ISCO 88,ISCO 88,ISCO 88,0,0,0
DOM,Dominican Republic,na,NA,NA,0,0,0
ECU,Ecuador,na,ISCO,ISCO,0,0,0
EGY,"Egypt, Arab Rep.",na,ISCO-98,ISCO-98,0,0,0
SLV,El Salvador,na,NA,NA,0,0,0
GNQ,Equatorial Guinea,0,NA,NA,0,0,0
ERI,Eritrea,0,0,0,0,0,0
EST,Estonia,ICSE-93,ICSE-93,ICSE-93,1,1,1
SWZ,Eswatini,na,na,na,0,0,0
ETH,Ethiopia,na,NA,NA,0,0,0
FJI,Fiji,na,NA,NA,0,0,0
FIN,Finland,NACE Rev2/ ISCO 08,ISCO 08,ISCO 08,0,0,0
FRA,France,NAF,NAF,NAF,0,0,0
GAB,Gabon,na,NA,NA,0,0,0
GMB,"Gambia, The",na,NA,NA,0,0,0
GEO,Georgia,ICSE-93,ICSE-93,ICSE-93,1,1,1
DEU,Germany,NACE Rev2,ISCO-08,ISCO-08,0,0,0
GHA,Ghana,na,NA,NA,0,0,0
GRC,Greece,0,ISCO-08,ISCO-08,0,0,0
GRD,Grenada,na,NA,NA,0,0,0
GTM,Guatemala,na,NA,NA,0,0,0
GIN,Guinea,na,NA,NA,0,0,0
GNB,Guinea-Bissau,na,NA,NA,0,0,0
GUY,Guyana,na,NA,NA,0,0,0
HTI,Haiti,na,NA,NA,0,0,0
HND,Honduras,na,NA,NA,0,0,0
HUN,Hungary,ICSE-93,ICSE-93,ICSE-93,1,1,1
ISL,Iceland,ICSE-93,ICSE-93,ICSE-93,1,1,1
IND,India,na,NSS,NSS,0,0,0
IDN,Indonesia,na,ASCO,ASCO,0,0,0
IRN,"Iran, Islamic Rep.",na,NA,NA,0,0,0
IRQ,Iraq,na,ISCO-88,ISCO-88,0,0,0
IRL,Ireland,na,ISCO-88,ISCO-88,0,0,0
ISR,Israel,na,ISCO-88,ISCO-88,0,0,0
ITA,Italy,NACE Rev2/ ISCO 08,ISCO-08,ISCO-08,0,0,0
JAM,Jamaica,na,ICLS-13/ISCO-08,ICLS-13/ISCO-08,0,0,0
JPN,Japan,JSIC,OCPCJ,OCPCJ,0,0,0
JOR,Jordan,na,ISCO-88,ISCO-88,0,0,0
KAZ,Kazakhstan,na,NA,NA,0,0,0
KEN,Kenya,na,NA,NA,0,0,0
KIR,Kiribati,na,NA,NA,0,0,0
KOR,"Korea, Rep.",na,ISCO-08/NA,ISCO-08/NA,0,0,0
XKX,Kosovo,na,NA,NA,0,0,0
KWT,Kuwait,na,NA,NA,0,0,0
KGZ,Kyrgyz Republic,ICSE-93,ICSE-93,ICSE-93,1,1,1
LAO,Lao PDR,na,na,na,0,0,0
LVA,Latvia,ICSE-93,ICSE-93,ICSE-93,1,1,1
LBN,Lebanon,na,ISCO-88,ISCO-88,0,0,0
LSO,Lesotho,na,ISCO-88,ISCO-88,0,0,0
LBR,Liberia,na,NA,NA,0,0,0
LBY,Libya,na,NA,NA,0,0,0
LTU,Lithuania,ICSE-93,ICSE-93,ICSE-93,1,1,1
LUX,Luxembourg,na,NA,NA,0,0,0
MKD,"Macedonia, FYR",na,ISCO-08,ISCO-08,0,0,0
MDG,Madagascar,na,NA,NA,0,0,0
MWI,Malawi,na,NA,NA,0,0,0
MYS,Malaysia,na,ISCO-08,ISCO-08,0,0,0
MDV,Maldives,na,NA,NA,0,0,0
MLI,Mali,na,NA,NA,0,0,0
MLT,Malta,na,ISCO-08,ISCO-08,0,0,0
MHL,Marshall Islands,0,NA,NA,0,0,0
MRT,Mauritania,na,NA,NA,0,0,0
MUS,Mauritius,ICSE-93,ICSE-93,ICSE-93,1,1,1
MEX,Mexico,na,NAICS,NAICS,0,1,1
FSM,"Micronesia, Fed. Sts.",na,NA,NA,0,0,0
MDA,Moldova,ICSE-93,ICSE-93,ICSE-93,1,1,1
MNG,Mongolia,na,ICSE-93,ICSE-93,0,1,1
MNE,Montenegro,na,ISCO-08,ISCO-08,0,0,0
MAR,Morocco,0,ICSE-93,ICSE-93,0,1,1
MOZ,Mozambique,na,NA,NA,0,0,0
MMR,Myanmar,na,NA,NA,0,0,0
NAM,Namibia,na,NA,NA,0,0,0
NRU,Nauru,0,0,0,0,0,0
NPL,Nepal,na,NA,NA,0,0,0
NLD,Netherlands,NACE Rev2,NA,NA,0,0,0
NZL,New Zealand,na,NA,NA,0,0,0
NIC,Nicaragua,0,NA,NA,0,0,0
NER,Niger,na,NA,NA,0,0,0
NGA,Nigeria,na,NA,NA,0,0,0
NOR,Norway,na,na,na,0,0,0
OMN,Oman,na,NA,NA,0,0,0
PAK,Pakistan,na,ISCO-88,ISCO-88,0,0,0
PLW,Palau,0,NA,NA,0,0,0
PAN,Panama,na,NA,NA,0,0,0
PNG,Papua New Guinea,na,NA,NA,0,0,0
PRY,Paraguay,na,NA,NA,0,0,0
PER,Peru,na,NA,NA,0,0,0
PHL,Philippines,na,ISCO-08,ISCO-08,0,0,0
POL,Poland,na,NA,NA,0,0,0
PRT,Portugal,NACE Rev2,ISCO-08,ISCO-08,0,0,0
QAT,Qatar,na,NA,NA,0,0,0
ROU,Romania,ICSE-93,ICSE-93,ICSE-93,1,1,1
RUS,Russian Federation,na,ISCO-08,ISCO-08,0,0,0
RWA,Rwanda,na,NA,NA,0,0,0
WSM,Samoa,na,NA,NA,0,0,0
SMR,San Marino,ICSE-93,ICSE-93,ICSE-93,1,1,1
STP,São Tomé and Principe,na,NA,NA,0,0,0
SAU,Saudi Arabia,na,NA,NA,0,0,0
SEN,Senegal,na,"ISCO, ISIC, ISCED","ISCO, ISIC, ISCED",0,0,0
SRB,Serbia,na,ICSE-93,ICSE-93,0,1,1
SYC,Seychelles,na,NA,NA,0,0,0
SLE,Sierra Leone,na,NA,NA,0,0,0
SGP,Singapore,na,ISCO-08,ISCO-08,0,0,0
SVK,Slovak Republic,na,ICSE-93,ICSE-93,0,1,1
SVN,Slovenia,na,ISCO-08,ISCO-08,0,0,0
SLB,Solomon Islands,na,NA,NA,0,0,0
SOM,Somalia,na,na,na,0,0,0
ZAF,South Africa,na,SASCO,SASCO,0,0,0
SSD,South Sudan,na,na,na,0,0,0
ESP,Spain,CNO-2011/ ISCO-2008.COM  (linked to ICSE),ISCO-08,ISCO-08,0,0,0
LKA,Sri Lanka,na,ISCO-08,ISCO-08,0,0,0
KNA,St. Kitts and Nevis,0,ISCO-88,ISCO-88,0,0,0
LCA,St. Lucia,na,ISCO-88,ISCO-88,0,0,0
VCT,St. Vincent and the Grenadines,na,ISCO-88,ISCO-88,0,0,0
SDN,Sudan,na,NA,NA,0,0,0
SUR,Suriname,na,ISCO-88,ISCO-88,0,0,0
SWE,Sweden,SE-SIC 07/ NACE Rev. 2  (linked to ICSE),ISCO-08,ISCO-08,0,0,0
CHE,Switzerland,na,NA,NA,0,0,0
SYR,Syrian Arab Republic,na,NA,NA,0,0,0
TJK,Tajikistan,ICSE,NA,NA,0,0,0
TZA,Tanzania,ICSE-93,ICSE-93,ICSE-93,1,1,1
THA,Thailand,ICSE-93,ICSE-93,ICSE-93,1,1,1
TLS,Timor-Leste,na,NA,NA,0,0,0
TGO,Togo,na,NA,NA,0,0,0
TON,Tonga,na,NA,NA,0,0,0
TTO,Trinidad and Tobago,na,NA,NA,0,0,0
TUN,Tunisia,na,NA,NA,0,0,0
TUR,Turkey,ICSE-93,ICSE-93,ICSE-93,1,1,1
TKM,Turkmenistan,na,na,na,0,0,0
TUV,Tuvalu,0,0,0,0,0,0
UGA,Uganda,ICSE-93,ICSE-93,ICSE-93,1,1,1
UKR,Ukraine,na,ICSE-93,ICSE-93,0,1,1
ARE,United Arab Emirates,na,NA,NA,0,0,0
GBR,United Kingdom,na,SOC-10,SOC-10,0,0,0
USA,United States,NAICS,NAICS,NAICS,1,1,1
URY,Uruguay,na,ISCO-08,ISCO-08,0,0,0
UZB,Uzbekistan,na,NA,NA,0,0,0
VUT,Vanuatu,na,NA,NA,0,0,0
VEN,"Venezuela, RB",na,ISCO-88,ISCO-88,0,0,0
VNM,Vietnam,na,NA,NA,0,0,0
PSE,West Bank and Gaza,na,ISCO-08,ISCO-08,0,0,0
YEM,"Yemen, Rep.",na,NA,NA,0,0,0
ZMB,Zambia,yes,NA,NA,0,0,0
ZWE,Zimbabwe,na,NA,NA,0,0,0
