Country Name,3 digit country code,Date,"Dimension 1: Methodology, Standards & Classifications (MSC)",Dimension 1: System of National Accounts in use,Dimension 1: National Accounts base year ,Dimension 1: Classification of national industry,Dimension 1: CPI base year,Dimension 1: Classification of household consumption,Dimension 1: Classification of status of employment,Dimension 1: Central government accounting status,Dimension 1: Compilation of government finance statistics,Dimension 1: Compilation of monetary and financial statistics,Dimension 1: SDDS/e-GDDS subscription,Dimension 1: CRVS,Dimension 1: Business process,Dimension 2: Censuses and Surveys (CS),Dimension 2: Population & Housing census,Dimension 2: Agriculture census,Dimension 2: Business/establishment census,Dimension 2: Household Survey on income/consumption/expenditure/budget/Integrated Survey ,Dimension 2: Agriculture survey,Dimension 2: Labor Force Survey,Dimension 2: Health/Demographic survey,Dimension 2: Business/establishment survey,Dimension 3: Availability of Key Indicators (AKI),Dimension 3: Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),"Dimension 3: Prevalence of stunting, height for age (% of children under 5)",Dimension 3: Food Insecurity Experience Scale,"Dimension 3: Mortality rate, under-5 (per 1,000 live births)",Dimension 3: Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,Dimension 3: Maternal Mortality,Dimension 3: People using safely managed drinking water services (% of population),Dimension 3: Access to electricity (% of population),"Dimension 3: Unemployment, total (% of total labor force) (national estimate)","Dimension 3: Manufacturing, value added (% of GDP)","Dimension 3: Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",Dimension 3: Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Dimension 3: Renewable energy consumption (% of total final energy consumption),Dimension 3: Households and NPISHs Final consumption expenditure (current LCU),Dimension 3: GNI (current LCU),Dimension 3: Quarterly GDP,"Dimension 3: Debt service (PPG and IMF only, % of exports of goods, services and primary income)",Dimension 4: Dissemination Practices & Openness (DPO),Dimension 4: NSO has an Advance Release Calendar and it is published ,Dimension 4: NSO has a listing of surveys and microdata sets (or NADA),Dimension 4: NSO has a data portal,Dimension 4: Timeseries indicators are available for download in reusable format for free,"Dimension 4: Metadata is available providing definition, methodology, standards or classifications for existing data series",Dimension 4: NSO has conducted a user satisfaction survey,Dimension 4: Geospatial data available on relevant agency website,SPI Overall Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,BGD,2016,33.33333333333333,0.5,0.5,1,0.5,0,0,0,0,1,0.5,0,0,57.49999999999999,1,1,0,0.3,0,1,1,0.3,70.88235294117646,0.15,1,1,1,0.3,0.4,1,1,0.6,1,0.3,0.3,1,1,1,0,1,28.57142857142857,0,1,0,0,1,0,0,47.57177871148458,BD,Dhaka,90.4113,23.7055,SAS,8S,South Asia,SAS,8S,South Asia,LMC,XN,Lower middle income,IDX,XI,IDA,Bangladesh,0.5,0.5,0.15,0.25,NA,NA,157970840
Bulgaria,BGR,2016,87.5,0.5,1,1,1,1,1,1,1,1,1,1,0,62.5,1,1,0,1,1,1,0,0,79.41176470588235,1,0.3,1,1,0.6,1,1,0,1,1,0,0.6,1,1,1,1,1,71.42857142857143,1,0,1,1,1,1,0,75.21008403361344,BG,Sofia,23.3238,42.7105,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Bulgaria,0.5,0.5,0.5,0.5,0.5,0.5,7127822
Bosnia and Herzegovina,BIH,2016,66.66666666666666,0.5,1,1,0.5,1,0,1,0.5,1,0.5,1,0,45,1,0,0,1,0,1,0.6,0,73.82352941176471,0.15,0.3,1,1,0,0.8,1,1,1,1,0,0.3,1,1,1,1,1,28.57142857142857,1,0,0,0,1,0,0,53.515406162464984,BA,Sarajevo,18.4214,43.8607,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Bosnia and Herzegovina,0.5,0.5,0.3,0.5,0.5,0.5,3386267
Belarus,BLR,2016,83.33333333333334,0.5,1,1,1,1,0,1,0.5,1,1,1,1,28.749999999999996,1,0,0,1,0,0,0.3,0,66.47058823529412,1,0,0,1,0,1,1,0,1,1,0,0.3,1,1,1,1,1,57.14285714285714,1,0,1,0,1,1,0,58.92419467787115,BY,Minsk,27.5766,53.9678,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Belarus,0.5,0.5,0.5,0.5,0.5,0.5,9501534
Belize,BLZ,2016,29.166666666666668,0.5,0,0.5,0,1,0,0,0,1,0.5,0,0,62.5,1,1,0,1,0,1,1,0,58.23529411764706,0,0.6,0,1,0,1,0,1,1,1,0,0.3,1,1,1,0,1,42.857142857142854,1,0,0,1,0,0,1,48.18977591036415,BZ,Belmopan,-88.7713,17.2534,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Belize,0.5,0.5,0.5,0.5,0.5,0.5,368400
Bolivia,BOL,2016,16.666666666666664,0,0,0.5,0,0,0,0,0,1,0.5,0,0,56.25,1,1,0,1,0.6,0.6,0.3,0,57.94117647058823,1,0.6,0,0.55,0,0.4,0,0,1,1,0,0.3,1,1,1,1,1,42.857142857142854,0,1,0,1,0,0,1,43.42874649859944,BO,La Paz,-66.1936,-13.9908,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,Bolivia,0.3,0.25,0.15,0.25,0.5,0.5,11031813
Brazil,BRA,2016,54.166666666666664,1,0,1,0.5,1,0,1,0,1,1,0,0,62.5,1,1,0,1,1,1,0,0,66.76470588235294,1,0,0,1,0.3,0.75,0,1,1,1,0,0.3,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,63.714985994397765,BR,Brasilia,-47.9292,-15.7801,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Brazil,0.5,0.5,0.5,0.25,0.5,0.5,206163058
Bhutan,BTN,2016,20.833333333333336,0.5,0,0,0,0,0,0.5,0,1,0.5,0,0,47.5,0.5,1,0,1,0,1,0.3,0,50.588235294117645,0.15,0,0,0,0,0.15,1,1,1,1,0,0.3,1,1,1,0,1,42.857142857142854,0,1,1,1,0,0,0,40.444677871148464,BT,Thimphu,89.6177,27.5768,SAS,8S,South Asia,SAS,8S,South Asia,LMC,XN,Lower middle income,IDX,XI,IDA,Bhutan,0,0,0.15,0,0.5,0.5,736709
Botswana,BWA,2016,29.166666666666668,0.5,0.5,0,0,1,0,0,0,1,0.5,0,0,47.5,1,1,0,0.6,0,0.3,0.3,0.6,57.64705882352942,0.15,0,1,0,0.3,0.75,0,1,0,1,0.3,0.3,1,1,1,1,1,57.14285714285714,1,1,0,0,1,0,1,47.864145658263304,BW,Gaborone,25.9201,-24.6544,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Botswana,0,0,0.5,0.25,NA,NA,2159944
Central African Republic,CAF,2016,16.666666666666664,0,0,0.5,0,0,0,0,0,1,0.5,0,0,17.5,0.5,0,0,0.3,0,0,0.6,0,27.05882352941176,0,0.3,0,0,0,0,0,0,0,1,0,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,15.306372549019606,CF,Bangui,21.6407,5.63056,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Central African Republic,0,0,0,0,NA,NA,4537687
Chile,CHL,2016,62.5,0.5,0.5,0.5,0.5,1,0,0,0.5,1,1,1,1,57.49999999999999,1,1,0,1,0,1,0,0.6,76.17647058823529,1,0.6,1,1,0.3,0.75,1,1,1,1,0,0.3,1,1,1,1,0,71.42857142857143,1,1,1,1,1,0,0,66.90126050420169,CL,Santiago,-70.6475,-33.475,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,IBD,XF,IBRD,Chile,0.5,0.5,0.5,0.25,0,0,18209068
China,CHN,2016,45.83333333333333,0.5,0,1,1,1,0,0.5,0.5,0,1,0,0,45,1,1,0,1,0,0.6,0,0,72.05882352941177,1,0.3,1,1,0.3,0.75,0,0,1,1,0.3,0.6,1,1,1,1,1,71.42857142857143,1,0,1,1,1,0,1,58.58018207282913,CN,Beijing,116.286,40.0495,EAS,Z4,East Asia & Pacific,EAP,4E,East Asia & Pacific (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,China,0.5,0.5,0.5,0.25,NA,NA,1378665000
Cote d'Ivoire,CIV,2016,16.666666666666664,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,47.5,1,1,0,0.6,0,0.3,0.6,0.3,61.76470588235294,0.15,0.6,1,0.75,0.3,0.4,1,0,1,1,0,0.3,1,1,1,0,1,28.57142857142857,0,1,0,1,0,0,0,38.62570028011204,CI,Yamoussoukro,-4.0305,5.332,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Cote d'Ivoire,0.5,0.25,0.15,0.25,0.5,0.5,23822714
Cameroon,CMR,2016,33.33333333333333,0.5,0,1,0,1,0,0,0,1,0.5,0,0,37.5,0.5,0,0,0.6,0,0.3,1,0.6,57.64705882352942,0.15,0.6,1,0.75,0.3,0.4,0,1,0.3,1,0,0.3,1,1,1,0,1,28.57142857142857,0,1,0,1,0,0,0,39.26295518207283,CM,Yaounde,11.5174,3.8721,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,Cameroon,0.5,0.25,0.15,0.25,0.5,0.5,23926539
"Congo, Dem. Rep.",COD,2016,16.666666666666664,0,0,0.5,0,0,0,0,0,1,0.5,0,0,28.749999999999996,0,0,0,0.3,0,0,1,1,38.8235294117647,0,0.3,0,0,0.3,0.4,0,0,0.3,1,0,0.3,1,1,1,0,1,0,0,0,0,0,0,0,0,21.06004901960784,CD,Kinshasa,15.3222,-4.325,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,NA,0,0,0.15,0.25,NA,NA,78789127
"Congo, Rep.",COG,2016,29.166666666666668,0,0,0,0,1,0,1,0,1,0.5,0,0,36.25,1,1,0,0.3,0,0,0.6,0,49.70588235294117,0,0.6,0,0.4,0.3,0.55,1,0,0.3,1,0,0.3,1,1,1,0,1,0,0,0,0,0,0,0,0,28.78063725490196,CG,Brazzaville,15.2662,-4.2767,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,NA,0.15,0.25,0.3,0.25,0.5,0.5,4980999
Colombia,COL,2016,50,0.5,0,1,0.5,0,0,1,0,1,1,0,1,82.5,1,1,0,1,1,1,0.6,1,72.3529411764706,1,0.3,0,0.4,0.3,1,1,1,1,1,0,0.3,1,1,1,1,1,100,1,1,1,1,1,1,1,76.21323529411765,CO,Bogota,-74.082,4.60987,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Colombia,0.15,0.25,0.5,0.5,0.5,0.5,48171392
Comoros,COM,2016,20.833333333333336,0,0,0,0,1,0,0,0,1,0.5,0,0,27.500000000000004,0.5,0.5,0,0.6,0,0.3,0.3,0,37.94117647058823,0.15,0.3,0,0,0,0.4,0,1,0.3,0,0,0.3,1,1,1,0,1,0,0,0,0,0,0,0,0,21.568627450980394,KM,Moroni,43.2418,-11.6986,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Comoros,0,0,0.15,0.25,0.5,0.5,795592
Cabo Verde,CPV,2016,33.33333333333333,0.5,0.5,0,0,0,0,0.5,0,1,0.5,1,0,48.75,1,1,0,0.6,0,1,0,0.3,57.35294117647059,0.15,0,1,1,0,1,0,0,0.3,1,0,0.3,1,1,1,1,1,71.42857142857143,1,1,0,1,1,0,1,52.71621148459384,CV,Praia,-23.5087,14.9218,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,Cabo Verde,0.5,0.5,0.5,0.5,0.5,0.5,531146
Costa Rica,CRI,2016,58.333333333333336,0.5,0,1,0.5,1,0,1,0,1,1,1,0,57.49999999999999,1,1,0,1,0,1,0.3,0.3,80,1,0,1,1,0.3,1,1,1,1,1,0,0.3,1,1,1,1,1,100,1,1,1,1,1,1,1,73.95833333333333,CR,San Jose,-84.0089,9.63701,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Costa Rica,0.5,0.5,0.5,0.5,0.5,0.5,4899345
Djibouti,DJI,2016,8.333333333333332,0,0,0,0,0,0,0,0.5,0,0.5,0,0,23.75,1,0,0,0.6,0,0,0.3,0,40.588235294117645,0.3,0.3,0,0,0,0,0,1,0,1,0,0.3,1,1,1,0,1,0,0,0,0,0,0,0,0,18.16789215686274,DJ,Djibouti,43.1425,11.5806,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Djibouti,0,0,NA,NA,0.5,0.5,929112
Dominica,DMA,2016,45.83333333333333,0.5,0.5,0.5,0.5,1,0,0,0,1,0.5,1,0,20,1,0,0,0.6,0,0,0,0,29.999999999999996,0,0,0,0.8,0,0,0,0,0,1,0,0.3,1,0,1,0,1,0,0,0,0,0,0,0,0,23.958333333333332,DM,Roseau,-61.39,15.2976,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IDB,XH,Blend,NA,0.3,0.5,NA,NA,0.5,0.5,71307
Dominican Republic,DOM,2016,54.166666666666664,1,0.5,1,0.5,1,0,1,0,1,0.5,0,0,50,1,0,0,1,0,1,1,0,66.76470588235294,1,0.3,0,0.4,0.3,0.75,0,1,1,1,0.3,0.3,1,1,1,1,1,57.14285714285714,0,1,1,1,1,0,0,57.01855742296919,DO,Santo Domingo,-69.8908,18.479,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Dominican Republic,0.15,0.25,0.5,0.25,0.5,0.5,10397743
Algeria,DZA,2016,25,0,0,0.5,0,1,0,0,0,1,0.5,0,0,42.5,1,0.5,1,0,0,0.3,0.6,0,51.470588235294116,0.15,0.3,0,1,0,0,0,1,1,1,0,0.3,1,1,1,0,1,14.285714285714285,0,0,1,0,0,0,0,33.3140756302521,DZ,Algiers,3.05097,36.7397,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Algeria,0.5,0.5,0,0,0.5,0.5,40551404
Ecuador,ECU,2016,50,1,0.5,1,0,1,0,0,0.5,1,1,0,0,68.75,1,0.5,1,1,0,1,0,1,80,1,0.6,1,0.65,0.3,0.75,1,1,1,1,0,0.3,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,67.54464285714286,EC,Quito,-78.5243,-0.229498,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Ecuador,0.15,0.5,0.5,0.25,0.5,0.5,16491115
"Egypt, Arab Rep.",EGY,2016,66.66666666666666,0.5,0.5,1,0.5,1,0,0,0.5,1,1,1,1,57.49999999999999,1,1,0,1,0,1,0.6,0,61.470588235294116,0,0.3,1,0.55,0.3,1,0,0,1,1,0,0.3,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,64.26645658263305,EG,Cairo,31.2461,30.0982,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,NA,0.3,0.25,0.5,0.5,0.5,0.5,94447072
Eritrea,ERI,2016,8.333333333333332,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.176470588235293,0,0,0,0,0,0,0,0,0,0,0,0.3,1,0.3,0.3,0,0,0,0,0,0,0,0,0,0,4.877450980392156,ER,Asmara,38.9183,15.3315,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,NA,0,0,0,0,NA,NA,NA
Ethiopia,ETH,2016,16.666666666666664,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0,0,60,1,0.5,0,0,1,1,0.3,1,61.76470588235294,0.15,1,0,0.75,0.3,0.4,1,1,0.3,1,0.3,0.3,1,1,1,0,1,14.285714285714285,0,1,0,0,0,0,0,38.17927170868347,ET,Addis Ababa,38.7468,9.02274,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Ethiopia,0.5,0.25,0.15,0.25,0.5,0.5,103603501
Fiji,FJI,2016,37.5,0.5,0,1,0.5,0,0,0,0,1,0.5,1,0,41.25,1,1,0,1,0,0.3,0,0,48.529411764705884,0.15,0,0,0.8,0,1,0,1,1,1,0,0.3,1,0,1,0,1,28.57142857142857,0,1,0,1,0,0,0,38.96271008403362,FJ,Suva,178.399,-18.1149,EAS,Z4,East Asia & Pacific,EAP,4E,East Asia & Pacific (excluding high income),UMC,XT,Upper middle income,IDB,XH,Blend,Fiji,0.3,0.5,0.5,0.5,0.5,0.5,872399
"Micronesia, Fed. Sts.",FSM,2016,16.666666666666664,0.5,0,0,0,1,0,0,0,0,0.5,0,0,20,1,0,0,0.6,0,0,0,0,19.41176470588235,0,0,0,0,0,0,0,0,0.3,1,0,0,1,0,1,0,0,28.57142857142857,0,0,0,1,1,0,0,21.162464985994397,FM,Palikir,158.185,6.91771,EAS,Z4,East Asia & Pacific,EAP,4E,East Asia & Pacific (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,NA,0,0,NA,NA,0,0,110215
Gabon,GAB,2016,20.833333333333336,0.5,0,0.5,0,0,0,0,0,1,0.5,0,0,20,1,0,0,0,0,0.3,0.3,0,41.1764705882353,0,0.3,0,0,0,0.4,0,1,0,1,0,0.3,1,1,1,0,1,14.285714285714285,0,0,0,1,0,0,0,24.07387955182073,GA,Libreville,9.45162,0.38832,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Gabon,0,0,0.15,0.25,NA,NA,2007873
Georgia,GEO,2016,79.16666666666666,0.5,1,0.5,0.5,1,1,0.5,0.5,1,1,1,1,53.75,1,1,0,1,0.3,1,0,0,81.76470588235294,1,0,1,1,0.6,1,1,1,1,1,0,0.3,1,1,1,1,1,71.42857142857143,1,1,0,1,1,0,1,71.52748599439776,GE,Tbilisi,44.793,41.71,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Georgia,0.5,0.5,0.5,0.5,0.5,0.5,3727505
Ghana,GHA,2016,41.66666666666667,0.5,0.5,1,0.5,1,0,0,0,1,0.5,0,0,47.5,1,0,0.5,1,0,0.3,1,0,68.23529411764706,0.8,0.6,1,0.75,0,0.25,1,1,0.6,1,0.3,0.3,1,1,1,0,1,42.857142857142854,1,1,0,0,0,1,0,50.06477591036415,GH,Accra,-0.20795,5.57045,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Ghana,0.5,0.25,0,0.25,0.5,0.5,28481946
