iso3c,country,AGRI.SURVEYS_2016,AGRI.SURVEYS_2017,AGRI.SURVEYS_2018,AGRI.SURVEYS_2019,SPI.D2.5.AGRI_2016,SPI.D2.5.AGRI_2017,SPI.D2.5.AGRI_2018,SPI.D2.5.AGRI_2019
COM,Comoros,NA,NA,NA,NA,0,0,0,0
COD,"Congo, Dem. Rep.",NA,NA,NA,NA,0,0,0,0
COG,"Congo, Rep.",NA,NA,NA,NA,0,0,0,0
CRI,Costa Rica,NA,NA,NA,NA,0,0,0,0
NA,Côte d'Ivoire,2016,2016,2016,2016,0,0.3,0.3,0.3
HRV,Croatia,"2005, 2007, 2010, 2013, 2016","2005, 2007, 2010, 2013, 2016","2005, 2007, 2010, 2013, 2016","2005, 2007, 2010, 2013, 2016",1,1,1,1
DJI,Djibouti,NA,NA,NA,NA,0,0,0,0
DMA,Dominica,NA,NA,NA,NA,0,0,0,0
DOM,Dominican Republic,NA,NA,NA,NA,0,0,0,0
ECU,Ecuador,NA,NA,NA,NA,0,0,0,0
EGY,"Egypt, Arab Rep.",NA,NA,NA,NA,0,0,0,0
SLV,El Salvador,NA,NA,NA,NA,0,0,0,0
GNQ,Equatorial Guinea,NA,NA,NA,NA,0,0,0,0
ERI,Eritrea,NA,NA,NA,NA,0,0,0,0
ETH,Ethiopia,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015","1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015","1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015","1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015",1,1,1,1
FJI,Fiji,NA,NA,NA,NA,0,0,0,0
GAB,Gabon,NA,NA,NA,NA,0,0,0,0
GMB,"Gambia, The",2005,2005,2005,2005,0,0,0,0
GEO,Georgia,2012,2012,2012,2012,0.3,0.3,0.3,0.3
GHA,Ghana,NA,NA,NA,NA,0,0,0,0
GRD,Grenada,NA,NA,NA,NA,0,0,0,0
GTM,Guatemala,"2013, 2014, 2015","2013, 2014, 2015","2013, 2014, 2015","2013, 2014, 2015",1,1,1,1
GIN,Guinea,NA,NA,NA,NA,0,0,0,0
GNB,Guinea-Bissau,NA,NA,NA,NA,0,0,0,0
GUY,Guyana,NA,NA,NA,NA,0,0,0,0
HTI,Haiti,NA,NA,NA,NA,0,0,0,0
HND,Honduras,"2006, 2007, 2008, 2009","2006, 2007, 2008, 2009","2006, 2007, 2008, 2009","2006, 2007, 2008, 2009",1,1,0.6,0.3
IND,India,"2003, 2010","2003, 2010","2003, 2010","2003, 2010",0.3,0.3,0.3,0.3
IDN,Indonesia,NA,NA,NA,NA,0,0,0,0
IRN,"Iran, Islamic Rep.",NA,NA,NA,NA,0,0,0,0
IRQ,Iraq,NA,NA,NA,NA,0,0,0,0
JAM,Jamaica,NA,NA,NA,NA,0,0,0,0
JOR,Jordan,NA,NA,NA,NA,0,0,0,0
KAZ,Kazakhstan,NA,NA,NA,NA,0,0,0,0
KEN,Kenya,NA,NA,NA,NA,0,0,0,0
KIR,Kiribati,NA,NA,NA,NA,0,0,0,0
XKX,Kosovo,2015,2015,2015,2015,0.3,0.3,0.3,0.3
KGZ,Kyrgyz Republic,NA,NA,NA,NA,0,0,0,0
LAO,Lao PDR,NA,NA,NA,NA,0,0,0,0
LBN,Lebanon,NA,NA,NA,NA,0,0,0,0
LSO,Lesotho,"2009, 2011, 2013, 2014, 2016, 2017","2009, 2011, 2013, 2014, 2016, 2017","2009, 2011, 2013, 2014, 2016, 2017","2009, 2011, 2013, 2014, 2016, 2017",1,1,1,1
LBR,Liberia,NA,NA,NA,NA,0,0,0,0
LBY,Libya,NA,NA,NA,NA,0,0,0,0
NA,"Macedonia, FYR",NA,NA,NA,NA,0,0,0,0
MDG,Madagascar,NA,NA,NA,NA,0,0,0,0
MWI,Malawi,NA,NA,NA,NA,0,0,0,0
MYS,Malaysia,NA,NA,NA,NA,0,0,0,0
MDV,Maldives,NA,NA,NA,NA,0,0,0,0
MLI,Mali,"2007, 2014","2007, 2014","2007, 2014","2007, 2014",0.6,0.6,0.3,0.3
MHL,Marshall Islands,NA,NA,NA,NA,0,0,0,0
MRT,Mauritania,NA,NA,NA,NA,0,0,0,0
MUS,Mauritius,2005,2005,2005,2005,0,0,0,0
MEX,Mexico,"2012, 2014, 2017","2012, 2014, 2017","2012, 2014, 2017","2012, 2014, 2017",0.6,0.6,1,1
FSM,"Micronesia, Fed. Sts.",NA,NA,NA,NA,0,0,0,0
MDA,Moldova,NA,NA,NA,NA,0,0,0,0
MNG,Mongolia,NA,NA,NA,NA,0,0,0,0
MNE,Montenegro,2016,2016,2016,2016,0,0.3,0.3,0.3
MAR,Morocco,NA,NA,NA,NA,0,0,0,0
MOZ,Mozambique,NA,NA,NA,NA,0,0,0,0
MMR,Myanmar,NA,NA,NA,NA,0,0,0,0
NAM,Namibia,NA,NA,NA,NA,0,0,0,0
NRU,Nauru,NA,NA,NA,NA,0,0,0,0
NPL,Nepal,NA,NA,NA,NA,0,0,0,0
NIC,Nicaragua,NA,NA,NA,NA,0,0,0,0
NER,Niger,"2011, 2014","2011, 2014","2011, 2014","2011, 2014",0.6,0.6,0.6,0.6
NGA,Nigeria,"2006, 2007","2006, 2007","2006, 2007","2006, 2007",0.6,0.3,0,0
PAK,Pakistan,NA,NA,NA,NA,0,0,0,0
PLW,Palau,NA,NA,NA,NA,0,0,0,0
PAN,Panama,NA,NA,NA,NA,0,0,0,0
PNG,Papua New Guinea,NA,NA,NA,NA,0,0,0,0
PRY,Paraguay,NA,NA,NA,NA,0,0,0,0
PER,Peru,"2014, 2015, 2016, 2017","2014, 2015, 2016, 2017","2014, 2015, 2016, 2017","2014, 2015, 2016, 2017",0.6,1,1,1
PHL,Philippines,"2008, 2016, 2017","2008, 2016, 2017","2008, 2016, 2017","2008, 2016, 2017",0.3,0.6,1,0.6
POL,Poland,"2005, 2007, 2013, 2016","2005, 2007, 2013, 2016","2005, 2007, 2013, 2016","2005, 2007, 2013, 2016",0.6,1,0.6,0.6
ROU,Romania,"2005, 2007, 2013, 2016","2005, 2007, 2013, 2016","2005, 2007, 2013, 2016","2005, 2007, 2013, 2016",0.6,1,0.6,0.6
RUS,Russian Federation,NA,NA,NA,NA,0,0,0,0
RWA,Rwanda,"2001, 2007, 2008, 2013, 2014, 2015, 2016, 2017, 2018, 2019","2001, 2007, 2008, 2013, 2014, 2015, 2016, 2017, 2018, 2019","2001, 2007, 2008, 2013, 2014, 2015, 2016, 2017, 2018, 2019","2001, 2007, 2008, 2013, 2014, 2015, 2016, 2017, 2018, 2019",1,1,1,1
WSM,Samoa,NA,NA,NA,NA,0,0,0,0
NA,São Tomé and Principe,NA,NA,NA,NA,0,0,0,0
SEN,Senegal,"2005, 2006, 2007, 2011, 2016, 2017","2005, 2006, 2007, 2011, 2016, 2017","2005, 2006, 2007, 2011, 2016, 2017","2005, 2006, 2007, 2011, 2016, 2017",1,1,1,1
SRB,Serbia,2018,2018,2018,2018,0,0,0,0.3
SYC,Seychelles,NA,NA,NA,NA,0,0,0,0
SLE,Sierra Leone,NA,NA,NA,NA,0,0,0,0
SLB,Solomon Islands,NA,NA,NA,NA,0,0,0,0
SOM,Somalia,NA,NA,NA,NA,0,0,0,0
ZAF,South Africa,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016",1,1,1,1
SSD,South Sudan,NA,NA,NA,NA,0,0,0,0
LKA,Sri Lanka,2016,2016,2016,2016,0,0.3,0.3,0.3
KNA,St. Kitts and Nevis,NA,NA,NA,NA,0,0,0,0
LCA,St. Lucia,NA,NA,NA,NA,0,0,0,0
VCT,St. Vincent and the Grenadines,NA,NA,NA,NA,0,0,0,0
SDN,Sudan,NA,NA,NA,NA,0,0,0,0
SUR,Suriname,NA,NA,NA,NA,0,0,0,0
NA,Swaziland,NA,NA,NA,NA,0,0,0,0
SYR,Syrian Arab Republic,NA,NA,NA,NA,0,0,0,0
TJK,Tajikistan,NA,NA,NA,NA,0,0,0,0
TZA,Tanzania,"2009, 2014","2009, 2014","2009, 2014","2009, 2014",0.6,0.6,0.6,0.6
THA,Thailand,2008,2008,2008,2008,0.3,0.3,0.3,0
TLS,Timor-Leste,NA,NA,NA,NA,0,0,0,0
TGO,Togo,NA,NA,NA,NA,0,0,0,0
TON,Tonga,NA,NA,NA,NA,0,0,0,0
TTO,Trinidad and Tobago,NA,NA,NA,NA,0,0,0,0
TUN,Tunisia,NA,NA,NA,NA,0,0,0,0
TUR,Turkey,"2006, 2016","2006, 2016","2006, 2016","2006, 2016",0.3,0.3,0.3,0.3
TKM,Turkmenistan,NA,NA,NA,NA,0,0,0,0
TUV,Tuvalu,NA,NA,NA,NA,0,0,0,0
UGA,Uganda,NA,NA,NA,NA,0,0,0,0
UKR,Ukraine,NA,NA,NA,NA,0,0,0,0
URY,Uruguay,NA,NA,NA,NA,0,0,0,0
UZB,Uzbekistan,NA,NA,NA,NA,0,0,0,0
VUT,Vanuatu,NA,NA,NA,NA,0,0,0,0
VEN,"Venezuela, RB",NA,NA,NA,NA,0,0,0,0
VNM,Vietnam,NA,NA,NA,NA,0,0,0,0
PSE,West Bank and Gaza,"2004, 2010, 2015","2004, 2010, 2015","2004, 2010, 2015","2004, 2010, 2015",0.6,0.6,0.6,0.6
YEM,"Yemen, Rep.",NA,NA,NA,NA,0,0,0,0
ZMB,Zambia,"2007, 2009, 2011, 2012, 2013, 2014, 2015","2007, 2009, 2011, 2012, 2013, 2014, 2015","2007, 2009, 2011, 2012, 2013, 2014, 2015","2007, 2009, 2011, 2012, 2013, 2014, 2015",1,1,1,1
ZWE,Zimbabwe,"2012, 2015, 2017","2012, 2015, 2017","2012, 2015, 2017","2012, 2015, 2017",0.6,0.6,1,1
