iso3c,country,date,SPI.D1.MSC,SPI.D1.1.SNAU,SPI.D1.2.NABY,SPI.D1.3.CNIN,SPI.D1.4.CPIBY,SPI.D1.5.HOUS,SPI.D1.6.EMPL,SPI.D1.7.CGOV,SPI.D1.8.FINA,SPI.D1.9.MONY,SPI.D1.10.IDDS,SPI.D1.11.CRVS,SPI.D1.12.GSBP,SPI.D2.CS,SPI.D2.1.POPU,SPI.D2.2.AGRI,SPI.D2.3.BIZZ,SPI.D2.4.HOUS,SPI.D2.5.AGRI,SPI.D2.6.LABR,SPI.D2.7.HLTH,SPI.D2.8.BIZZ,SPI.D3.AKI,SI.POV.NAHC,SH.DYN.MORT,SH.IMM.MEAS,SE.PRM.CMPT.ZS,SE.ADT.LITR.ZS,SH.H2O.BASW.ZS,SL.UEM.TOTL.NE.ZS,NV.IND.MANF.ZS,NE.GDI.TOTL.ZS,NY.GDP.DEFL.KD.ZG,BN.GSR.GNFS.CD,SN.ITK.DEFC.ZS,SPI.D4.DPO,SPI.D4.1.CALD,SPI.D4.2.NADA,SPI.D4.3.PORT,SPI.D4.4.TIME,SPI.D4.5.META,SPI.D4.6.USER,SPI.D4.7.GEOS,population,SPI.OVRL.SCR
LBY,Libya,2016,20.833333333333336,0.5,0,0.5,0,1,0,0,0,0,0.5,0,0,25,1,1,0,0,0,0,0,0,41.666666666666664,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6492164,21.875
LCA,St. Lucia,2016,33.33333333333333,0,0.5,0.5,0.5,0,0,0,0,1,0.5,1,0,48.75,1,1,0,0.3,0,1,0.3,0.3,66.66666666666667,0,1,1,0,0,1,1,1,1,1,1,0,28.57142857142857,0,1,0,1,0,0,0,180024,44.33035714285714
LKA,Sri Lanka,2016,45.83333333333333,0.5,0.5,1,0.5,1,0,0,0,0,1,1,0,76.25,1,1,0.5,1,0,1,0.6,1,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,71.42857142857143,1,1,0,1,1,0,1,21203000,69.21130952380952
LSO,Lesotho,2016,33.33333333333333,0.5,0,0.5,0,1,0,0,0.5,1,0.5,0,0,77.5,1,1,0,1,1,0.6,1,0.6,91.66666666666667,0,1,1,1,1,1,1,1,1,1,1,1,28.57142857142857,0,1,0,0,1,0,0,2075001,57.76785714285714
LTU,Lithuania,2016,100,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,57.14285714285714,1,0,1,1,1,0,0,2868231,87.20238095238096
LUX,Luxembourg,2016,83.33333333333334,1,1,1,1,1,0,1,1,1,1,1,0,100,1,1,1,1,1,1,1,1,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,57.14285714285714,1,0,1,1,1,0,0,582014,80.95238095238096
LVA,Latvia,2016,91.66666666666666,1,1,1,1,1,1,1,0,1,1,1,1,100,1,1,1,1,1,1,1,1,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,85.71428571428571,1,1,1,1,1,0,1,1959537,92.26190476190476
MAR,Morocco,2016,33.33333333333333,0.5,0.5,0.5,0.5,0,0,0,0,1,1,0,0,63.74999999999999,1,1,0.5,1,0,0,0.6,1,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,57.14285714285714,0,1,1,1,1,0,0,35126296,61.473214285714285
MDA,Moldova,2016,87.5,0.5,1,1,1,1,1,0.5,0.5,1,1,1,1,52.5,1,1,0,1,0,0.3,0.3,0.6,91.66666666666667,1,1,1,1,1,1,1,1,1,1,1,0,57.14285714285714,1,0,1,1,1,0,0,3551954,72.20238095238096
MDG,Madagascar,2016,29.166666666666668,0,0,0,0.5,1,0,1,0.5,0,0.5,0,0,40,0,0,0,0.6,0,1,1,0.6,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,24894380,38.125
MDV,Maldives,2016,41.66666666666667,0.5,0,0,0.5,1,0,0.5,0,1,0.5,1,0,43.75,1,1,0,0.6,0,0,0.3,0.6,83.33333333333333,0,1,1,1,1,1,1,1,0,1,1,1,14.285714285714285,0,1,0,0,0,0,0,475513,45.75892857142857
MEX,Mexico,2016,58.333333333333336,1,0.5,1,0.5,0,0,0,0,1,1,1,1,86.25,1,1,1,1,0.6,1,0.3,1,91.66666666666667,0,1,1,1,1,1,1,1,1,1,1,1,85.71428571428571,1,1,1,1,1,0,1,123333376,80.49107142857143
MHL,Marshall Islands,2016,4.166666666666666,0,0,0,0,0,0,0,0,0,0.5,0,0,28.749999999999996,1,1,0,0,0,0,0.3,0,58.333333333333336,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,57735,22.8125
MLI,Mali,2016,16.666666666666664,0,0,0.5,0,1,0,0,0,0,0.5,0,0,70,1,1,0,1,1,0,1,0.6,83.33333333333333,0,1,1,1,1,1,1,0,1,1,1,1,14.285714285714285,0,1,0,0,0,0,0,17965429,46.07142857142857
MLT,Malta,2016,75,0.5,1,1,0.5,1,0,1,1,1,1,1,0,100,1,1,1,1,1,1,1,1,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,85.71428571428571,1,1,1,1,1,0,1,455356,86.01190476190476
MMR,Myanmar,2016,29.166666666666668,0,0.5,0,0.5,0,0,0,1,1,0.5,0,0,56.25,1,1,0,1,0,0.3,0.6,0.6,83.33333333333333,1,1,1,0,0,1,1,1,1,1,1,1,42.857142857142854,0,0,1,1,1,0,0,53045226,52.901785714285715
MNE,Montenegro,2016,37.5,0.5,0,1,0.5,1,0,0,0,0,0.5,1,0,65,1,1,0,1,0,1,0.6,0.6,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,71.42857142857143,1,1,0,1,1,1,0,622303,66.39880952380953
MNG,Mongolia,2016,50,0.5,0.5,0.5,0.5,1,0,0.5,0,1,0.5,1,0,65,1,1,0,1,0,1,0.6,0.6,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,71.42857142857143,1,1,1,1,0,1,0,3056359,69.52380952380953
MOZ,Mozambique,2016,33.33333333333333,0.5,0.5,0.5,0,1,0,0,0,1,0.5,0,0,43.75,1,1,0,0.6,0,0,0.6,0.3,100,1,1,1,1,1,1,1,1,1,1,1,1,42.857142857142854,1,1,0,0,1,0,0,27829942,54.985119047619044
MRT,Mauritania,2016,29.166666666666668,0.5,0,1,0.5,1,0,0,0,0,0.5,0,0,56.25,1,1,0,0.6,0,0.3,1,0.6,83.33333333333333,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,4163534,42.1875
MUS,Mauritius,2016,75,0.5,0.5,1,0.5,1,1,1,0.5,1,1,1,0,66.25,1,1,1,1,0,1,0,0.3,91.66666666666667,0,1,1,1,1,1,1,1,1,1,1,1,57.14285714285714,0,1,1,1,1,0,0,1263473,72.51488095238096
MWI,Malawi,2016,20.833333333333336,1,0.5,0.5,0,0,0,0,0,0,0.5,0,0,66.25,1,1,0,1,0,0.3,1,1,91.66666666666667,0,1,1,1,1,1,1,1,1,1,1,1,28.57142857142857,0,1,0,0,1,0,0,17205289,51.83035714285714
MYS,Malaysia,2016,54.166666666666664,0.5,0.5,1,0.5,1,0,0,0,1,1,1,0,53.75,1,1,0,1,0,1,0,0.3,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,57.14285714285714,1,0,1,1,1,0,0,30684804,64.18154761904762
NAM,Namibia,2016,29.166666666666668,0.5,0.5,0.5,0.5,0,0,0,0,1,0.5,0,0,70,1,1,0,0.6,0,1,1,1,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,42.857142857142854,0,1,1,1,0,0,0,2358041,58.42261904761905
NER,Niger,2016,25,0.5,0.5,0.5,0,1,0,0,0,0,0.5,0,0,66.25,1,1,0,1,1,0,1,0.3,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,42.857142857142854,1,1,0,0,1,0,0,20788838,56.44345238095239
NGA,Nigeria,2016,37.5,1,0.5,1,0.5,0,0,0,0,1,0.5,0,0,56.25,1,1,0,0.3,0.6,0,1,0.6,75,0,1,1,0,0,1,1,1,1,1,1,1,57.14285714285714,1,1,1,0,1,0,0,185960289,56.473214285714285
NIC,Nicaragua,2016,29.166666666666668,0.5,0.5,0.5,0.5,0,0,0,0,1,0.5,0,0,53.75,0.5,1,0,0.6,0.3,0.3,1,0.6,91.66666666666667,1,1,1,0,1,1,1,1,1,1,1,1,14.285714285714285,0,0,0,0,1,0,0,6303974,47.217261904761905
NLD,Netherlands,2016,91.66666666666666,1,1,1,1,1,0,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,75,0,1,1,0,0,1,1,1,1,1,1,1,57.14285714285714,1,0,1,1,1,0,0,17030314,80.95238095238093
NOR,Norway,2016,83.33333333333334,1,1,1,1,1,0,1,1,0,1,1,1,100,1,1,1,1,1,1,1,1,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,71.42857142857143,1,0,1,1,1,1,0,5234519,84.52380952380953
NPL,Nepal,2016,25,0.5,0,0.5,0.5,0,0,0,0,1,0.5,0,0,70,1,1,0,0.6,0,1,1,1,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,42.857142857142854,0,1,0,1,0,1,0,27261131,55.297619047619044
NRU,Nauru,2016,8.333333333333332,0,0,0,0,0,0,0,0,0,0,1,0,32.5,1,1,0,0.6,0,0,0,0,66.66666666666667,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,13049,26.875
NZL,New Zealand,2016,54.166666666666664,1,1,1,0.5,1,0,0,0,0,0,1,1,100,1,1,1,1,1,1,1,1,75,0,1,1,0,0,1,1,1,1,1,1,1,85.71428571428571,1,1,1,1,1,0,1,4693200,78.72023809523809
OMN,Oman,2016,33.33333333333333,0.5,0.5,0.5,0,1,0,0,0,1,0.5,0,0,32.5,1,1,0,0.3,0,0,0.3,0,83.33333333333333,0,1,1,1,1,1,0,1,1,1,1,1,42.857142857142854,0,0,1,1,0,0,1,4479219,48.00595238095238
PAK,Pakistan,2016,33.33333333333333,0.5,0.5,1,0.5,0,0,0,0,1,0.5,0,0,63.74999999999999,0.5,1,0,1,0,1,1,0.6,100,1,1,1,1,1,1,1,1,1,1,1,1,28.57142857142857,0,1,0,0,1,0,0,203627284,56.41369047619047
PAN,Panama,2016,25,0.5,0.5,0.5,0,0,0,0,0,1,0.5,0,0,61.25000000000001,1,1,0,1,0,1,0.3,0.6,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,42.857142857142854,1,0,0,1,1,0,0,4037078,55.19345238095239
PER,Peru,2016,33.33333333333333,0.5,0.5,1,0.5,0,0,0.5,0,0,1,0,0,77.5,1,1,0,1,0.6,1,1,0.6,100,1,1,1,1,1,1,1,1,1,1,1,1,57.14285714285714,1,1,1,1,0,0,0,30926032,66.99404761904762
PHL,Philippines,2016,45.83333333333333,0.5,0,0.5,0.5,1,0,0,0,1,1,1,0,90,1,1,1,1,0.6,1,0.6,1,100,1,1,1,1,1,1,1,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,103663927,76.81547619047619
PLW,Palau,2016,25,0.5,0,0,0.5,0,0,0,0.5,0,0.5,1,0,32.5,1,1,0,0.6,0,0,0,0,83.33333333333333,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,17725,35.20833333333333
PNG,Papua New Guinea,2016,16.666666666666664,0.5,0,0,0,0,0,0,0,1,0.5,0,0,32.5,1,1,0,0.6,0,0,0,0,58.333333333333336,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,8271760,26.875
POL,Poland,2016,91.66666666666666,1,1,1,1,1,0,1,1,1,1,1,1,65,1,1,0,1,0.6,1,0,0.6,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,71.42857142857143,1,0,1,1,1,0,1,37970087,79.94047619047619
PRT,Portugal,2016,91.66666666666666,1,1,1,1,1,0,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,75,0,1,1,0,0,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,10325452,91.66666666666666
PRY,Paraguay,2016,41.66666666666667,0.5,0,0.5,0.5,1,0,1,0,1,0.5,0,0,61.25000000000001,1,1,0,1,0,1,0.3,0.6,91.66666666666667,1,1,1,0,1,1,1,1,1,1,1,1,14.285714285714285,0,1,0,0,0,0,0,6777872,52.21726190476191
PSE,West Bank and Gaza,2016,59.09090909090909,0,NA,1,0.5,1,0,1,0,1,1,0,1,81.25,1,1,1,1,0.6,1,0.3,0.6,75,0,1,0,1,1,1,1,1,1,1,1,0,28.57142857142857,1,0,0,0,1,0,0,4367088,60.97808441558442
QAT,Qatar,2016,37.5,0.5,0.5,0.5,0.5,0,0,0,0,1,0.5,1,0,48.75,1,1,0,0.6,0,1,0.3,0,83.33333333333333,0,1,1,1,1,1,1,1,1,1,1,0,42.857142857142854,1,0,0,1,1,0,0,2654374,53.110119047619044
ROU,Romania,2016,66.66666666666666,0.5,0,1,1,0,1,1,0.5,1,1,1,0,65,1,1,0,1,0.6,1,0,0.6,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,85.71428571428571,1,1,1,1,1,1,0,19702332,77.26190476190476
RUS,Russian Federation,2016,79.16666666666666,0.5,0.5,0.5,1,1,0,1,1,1,1,1,1,57.49999999999999,1,1,0,1,0,1,0,0.6,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,42.857142857142854,1,1,0,0,1,0,0,144342396,67.79761904761904
RWA,Rwanda,2016,37.5,1,0.5,1,0.5,0,0,1,0,0,0.5,0,0,81.25,1,1,1,1,0.6,0.3,1,0.6,100,1,1,1,1,1,1,1,1,1,1,1,1,71.42857142857143,1,1,1,0,1,1,0,11668818,72.54464285714286
SAU,Saudi Arabia,2016,29.166666666666668,1,0.5,0.5,0,1,0,0,0,0,0.5,0,0,70,1,1,1,0.6,0,1,0,1,91.66666666666667,0,1,1,1,1,1,1,1,1,1,1,1,71.42857142857143,1,0,1,1,1,0,1,32442572,65.56547619047619
SDN,Sudan,2016,16.666666666666664,0,0,0,0.5,0,0,0,0,1,0.5,0,0,52.5,1,1,0,1,0,0.3,0.3,0.6,66.66666666666667,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,39847440,33.95833333333333
SEN,Senegal,2016,29.166666666666668,0.5,0,0.5,0.5,1,0,0,0.5,0,0.5,0,0,56.25,1,1,0,0.3,0.6,0,1,0.6,91.66666666666667,0,1,1,1,1,1,1,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,14993528,62.12797619047619
SGP,Singapore,2016,62.5,1,0.5,1,0.5,1,0,0.5,1,0,1,1,0,48.75,1,1,0,1,0,0.6,0,0.3,75,0,1,1,0,1,1,1,1,1,1,1,0,57.14285714285714,1,0,1,1,1,0,0,5607283,60.848214285714285
SLB,Solomon Islands,2016,25,0.5,0,0.5,0.5,0,0,0,0,1,0.5,0,0,40,1,1,0,0.6,0,0,0.6,0,75,1,1,1,1,0,1,1,0,0,1,1,1,14.285714285714285,0,0,0,1,0,0,0,619437,38.57142857142857
SLE,Sierra Leone,2016,25,0.5,0.5,0.5,0,0,0,0,0,1,0.5,0,0,48.75,1,1,0,0.3,0,0.3,1,0.3,91.66666666666667,0,1,1,1,1,1,1,1,1,1,1,1,14.285714285714285,0,1,0,0,0,0,0,7328838,44.92559523809524
SLV,El Salvador,2016,50,0,0,0.5,0.5,1,0,1,0,1,1,1,0,48.75,1,1,0,1,0,0,0.3,0.6,100,1,1,1,1,1,1,1,1,1,1,1,1,28.57142857142857,0,1,0,0,1,0,0,6356143,56.83035714285714
SMR,San Marino,2016,50,0.5,0,0.5,1,0,1,1,0.5,0,0.5,1,0,25,1,1,0,0,0,0,0,0,41.666666666666664,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,33504,29.166666666666664
SOM,Somalia,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,13.750000000000002,0.5,0,0,0.3,0,0,0.3,0,25,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14185613,9.6875
SRB,Serbia,2016,66.66666666666666,0.5,1,1,0.5,1,0,0.5,0,1,0.5,1,1,70,1,1,0,1,0,1,1,0.6,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,85.71428571428571,1,1,1,1,1,1,0,7058322,78.51190476190476
SSD,South Sudan,2016,20.833333333333336,0.5,0.5,0,0.5,0,0,0,0,1,0,0,0,36.25,1,1,0,0.3,0,0,0.3,0.3,66.66666666666667,1,1,1,0,0,1,0,1,1,1,1,0,14.285714285714285,0,1,0,0,0,0,0,10832512,34.50892857142857
SUR,Suriname,2016,50,0.5,0.5,0.5,0.5,1,0,0,0.5,1,0.5,1,0,47.5,1,1,0,0.6,0,0.3,0.6,0.3,75,0,1,1,1,0,1,1,1,0,1,1,1,28.57142857142857,0,0,0,1,1,0,0,564888,50.26785714285714
SVK,Slovak Republic,2016,91.66666666666666,1,1,1,1,1,0,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,5430798,88.69047619047619
SVN,Slovenia,2016,83.33333333333334,1,1,1,1,1,0,1,0,1,1,1,1,100,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,2065042,95.83333333333334
SWE,Sweden,2016,91.66666666666666,1,1,1,1,1,0,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,9923085,86.60714285714286
SYC,Seychelles,2016,62.5,0.5,0.5,1,0.5,1,0,0.5,0.5,1,1,1,0,37.5,1,1,0,1,0,0,0,0,83.33333333333333,1,1,1,1,0,1,1,1,1,1,1,0,42.857142857142854,1,0,0,1,1,0,0,94677,56.547619047619044
SYR,Syrian Arab Republic,2016,20.833333333333336,0,0,0,0,1,0,0,0,1,0.5,0,0,31.25,0.5,0.5,0,0.6,0,0.3,0.3,0.3,33.333333333333336,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17453933,21.354166666666668
TCD,Chad,2016,16.666666666666664,0.5,0,0,0,0,0,0,0,1,0.5,0,0,45,1,1,0,0.3,0,0,1,0.3,75,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,14561666,34.166666666666664
TGO,Togo,2016,25,0,0,1,0.5,1,0,0,0,0,0.5,0,0,53.75,1,1,0,1,0,0,1,0.3,100,1,1,1,1,1,1,1,1,1,1,1,1,28.57142857142857,0,1,1,0,0,0,0,7509952,51.83035714285714
THA,Thailand,2016,66.66666666666666,0.5,0,1,0.5,1,1,1,1,1,1,0,0,75,1,1,1,1,0,1,1,0,91.66666666666667,1,1,1,0,1,1,1,1,1,1,1,1,85.71428571428571,1,1,1,1,1,0,1,68971331,79.76190476190476
TJK,Tajikistan,2016,45.83333333333333,0.5,1,0,1,1,0,0,0.5,1,0.5,0,0,60,1,1,0,1,0,0.6,0.6,0.6,83.33333333333333,1,1,1,1,1,1,0,1,1,1,1,0,28.57142857142857,0,0,0,1,1,0,0,8663579,54.43452380952381
TKM,Turkmenistan,2016,4.166666666666666,0.5,0,0,0,0,0,0,0,0,0,0,0,28.749999999999996,1,1,0,0,0,0,0.3,0,50,0,1,1,0,1,1,0,0,0,1,0,1,14.285714285714285,0,0,0,0,1,0,0,5662372,24.300595238095234
TLS,Timor-Leste,2016,50,1,0.5,1,0.5,1,0,0.5,0,1,0.5,0,0,65,1,1,0,1,0,1,0.6,0.6,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,14.285714285714285,0,0,0,0,1,0,0,1219288,55.23809523809524
TON,Tonga,2016,25,0.5,0.5,0,0.5,0,0,0,0,1,0.5,0,0,32.5,1,1,0,0.3,0,0,0,0.3,58.333333333333336,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,101133,28.958333333333336
TTO,Trinidad and Tobago,2016,37.5,0.5,0,0.5,0,1,0,0,0,1,0.5,1,0,40,1,1,0,0.3,0,0,0.6,0.3,66.66666666666667,0,1,1,0,0,1,1,1,0,1,1,1,14.285714285714285,0,0,0,0,1,0,0,1377564,39.61309523809524
TUN,Tunisia,2016,25,0.5,0.5,1,0,0,0,0,0,0,1,0,0,61.25000000000001,1,1,0,0.6,0,1,1,0.3,100,1,1,1,1,1,1,1,1,1,1,1,1,57.14285714285714,0,1,1,1,1,0,0,11303946,60.848214285714285
TUR,Turkey,2016,79.16666666666666,0.5,0,1,1,1,1,1,1,0,1,1,1,62.5,1,0.5,0,1,0.3,1,0.6,0.6,100,1,1,1,1,1,1,1,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,79821724,78.27380952380952
TUV,Tuvalu,2016,8.333333333333332,0,0,0,0.5,0,0,0,0,0,0.5,0,0,28.749999999999996,1,1,0,0.3,0,0,0,0,50,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11225,21.770833333333332
TZA,Tanzania,2016,50,1,0.5,0.5,0.5,1,1,0,0,1,0.5,0,0,72.5,1,1,0,0.6,0.6,1,0.6,1,91.66666666666667,0,1,1,1,1,1,1,1,1,1,1,1,28.57142857142857,0,1,0,0,1,0,0,53050790,60.68452380952381
UGA,Uganda,2016,58.333333333333336,1,0.5,0,0.5,1,1,1,0.5,1,0.5,0,0,73.75,1,1,0,1,0.3,1,0.6,1,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,28.57142857142857,0,1,0,0,1,0,0,39647506,60.99702380952381
UKR,Ukraine,2016,75,0.5,1,1,1,1,0,0.5,0,1,1,1,1,52.5,0.5,0.5,0,1,0,1,0.6,0.6,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,42.857142857142854,1,0,0,1,1,0,0,45004645,65.50595238095238
URY,Uruguay,2016,37.5,0.5,0,0,0.5,0,0,0.5,0,1,1,1,0,78.75,1,1,1,1,0,1,0.3,1,100,1,1,1,1,1,1,1,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,3424132,71.91964285714286
USA,United States,2016,79.16666666666666,1,1,1,1,0,1,1,0.5,1,1,1,0,100,1,1,1,1,1,1,1,1,75,0,1,1,0,0,1,1,1,1,1,1,1,85.71428571428571,1,1,1,1,1,0,1,323071342,84.97023809523809
UZB,Uzbekistan,2016,41.66666666666667,0.5,1,1,0,0,0,0.5,1,0,0,1,0,15,0,0,0,0.3,0,0,0.3,0.6,91.66666666666667,1,1,1,1,1,1,1,1,1,1,0,1,28.57142857142857,0,0,0,1,1,0,0,31847900,44.22619047619048
VCT,St. Vincent and the Grenadines,2016,45.83333333333333,0.5,0.5,0.5,0.5,1,0,0,0,1,0.5,1,0,28.749999999999996,1,1,0,0,0,0,0,0.3,75,0,1,1,1,0,1,0,1,1,1,1,1,14.285714285714285,0,0,0,1,0,0,0,109459,40.9672619047619
VEN,"Venezuela, RB",2016,25,0.5,0,0,0,1,0,0,0,1,0.5,0,0,41.25,1,1,0,0,0,0.3,0,1,91.66666666666667,1,1,1,1,1,1,0,1,1,1,1,1,42.857142857142854,0,1,0,1,1,0,0,29846179,50.19345238095239
VNM,Vietnam,2016,33.33333333333333,0.5,0.5,1,0.5,0,0,0,0,0,0.5,1,0,87.5,1,1,1,1,0,1,1,1,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,57.14285714285714,0,1,1,1,1,0,0,93638724,67.41071428571428
VUT,Vanuatu,2016,20.833333333333336,0.5,0.5,0,0,0,0,0,0,1,0.5,0,0,43.75,1,1,0,0.6,0,0,0.6,0.3,83.33333333333333,0,1,1,1,1,1,0,1,1,1,1,1,28.57142857142857,0,1,0,0,0,0,1,278330,44.12202380952381
WSM,Samoa,2016,41.66666666666667,0.5,0.5,0.5,0.5,1,0,0,0.5,1,0.5,0,0,43.75,1,1,0,0.6,0,0.3,0.3,0.3,83.33333333333333,1,1,1,1,0,1,1,1,0,1,1,1,42.857142857142854,1,1,0,0,1,0,0,194535,52.901785714285715
XKX,Kosovo,2016,50,0.5,0.5,1,0.5,1,0,0,1,1,0.5,0,0,70,1,1,0,1,0.3,1,0.3,1,50,1,0,0,0,0,0,1,1,1,1,1,0,42.857142857142854,1,0,1,1,0,0,0,1816200,53.214285714285715
YEM,"Yemen, Rep.",2016,25,0.5,0,0.5,0.5,1,0,0,0,0,0.5,0,0,38.75,0.5,0.5,0,0.6,0,0.3,0.6,0.6,83.33333333333333,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,27168210,36.77083333333333
ZAF,South Africa,2016,62.5,1,0.5,0.5,0.5,1,0,0.5,0.5,1,1,0,1,53.75,1,1,0,1,0,1,0,0.3,100,1,1,1,1,1,1,1,1,1,1,1,1,71.42857142857143,1,1,0,1,1,0,1,56203654,71.91964285714286
ZMB,Zambia,2016,37.5,1,0.5,0.5,0,1,0,0,0,1,0.5,0,0,82.5,1,1,0,1,1,1,1,0.6,83.33333333333333,1,1,1,1,0,1,0,1,1,1,1,1,42.857142857142854,0,1,1,1,0,0,0,16363507,61.547619047619044
ZWE,Zimbabwe,2016,33.33333333333333,0.5,0.5,0.5,0.5,1,0,0,0.5,0,0.5,0,0,70,1,1,0,1,0.3,1,1,0.3,91.66666666666667,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,14030390,48.75
NA,Côte d'Ivoire,2016,16.666666666666664,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,52.5,1,1,0,0.6,0,0.3,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.57142857142857,0,1,0,1,0,0,0,NA,NA
NA,"Macedonia, FYR",2016,54.166666666666664,0.5,0,1,1,1,0,0,0,0,1,1,1,58.75,0.5,1,0,1,0,1,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.42857142857143,1,0,1,1,1,1,0,NA,NA
NA,São Tomé and Principe,2016,29.166666666666668,0.5,0,0.5,0,1,0,0,0,1,0.5,0,0,41.25,1,1,0,0.3,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.285714285714285,0,1,0,0,0,0,0,NA,NA
NA,Swaziland,2016,25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31.428571428571427,1,NA,0,0.3,0,0,0.6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,2017,33.33333333333333,0.5,0,0,0,1,0,0.5,0.5,1,0.5,0,0,37.5,0,0,0,1,0,0,1,1,83.33333333333333,1,1,1,1,0,1,0,1,1,1,1,1,28.57142857142857,0,0,0,1,0,1,0,36296400,45.68452380952381
AGO,Angola,2017,37.5,0.5,0,1,0.5,1,0,0,0,1,0.5,0,0,50,1,1,0.5,0.6,0,0,0.6,0.3,75,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,29816748,40.625
ALB,Albania,2017,79.16666666666666,0.5,1,1,0.5,1,0,1,1,1,0.5,1,1,70,1,1,0,1,0,1,0.6,1,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,85.71428571428571,1,0,1,1,1,1,1,2873457,79.55357142857143
ARE,United Arab Emirates,2017,58.333333333333336,0.5,0.5,1,0.5,1,0,1,1,1,0.5,0,0,32.5,1,1,0,0.6,0,0,0,0,83.33333333333333,0,1,1,1,1,1,1,1,1,1,0,1,42.857142857142854,0,0,1,1,1,0,0,9487203,54.25595238095239
