iso3c,country,EMPL_2016,EMPL_2017,EMPL_2018,EMPL_2019,SPI.D1.6.EMPL_2016,SPI.D1.6.EMPL_2017,SPI.D1.6.EMPL_2018,SPI.D1.6.EMPL_2019
MMR,Myanmar,na,NA,NA,NA,0,0,0,0
NAM,Namibia,na,NA,NA,NA,0,0,0,0
NRU,Nauru,0,0,0,0,0,0,0,0
NPL,Nepal,na,NA,NA,NA,0,0,0,0
NLD,Netherlands,NACE Rev2,NA,NA,NA,0,0,0,NA
NZL,New Zealand,na,NA,NA,NA,0,0,0,NA
NIC,Nicaragua,0,NA,NA,NA,0,0,0,0
NER,Niger,na,NA,NA,NA,0,0,0,0
NGA,Nigeria,na,NA,NA,NA,0,0,0,0
NOR,Norway,na,na,na,NA,0,0,0,NA
OMN,Oman,na,NA,NA,NA,0,0,0,NA
PAK,Pakistan,na,ISCO-88,ISCO-88,ISCO-88,0,0,0,0
PLW,Palau,0,NA,NA,NA,0,0,0,0
PAN,Panama,na,NA,NA,NA,0,0,0,0
PNG,Papua New Guinea,na,NA,NA,NA,0,0,0,0
PRY,Paraguay,na,NA,NA,NA,0,0,0,0
PER,Peru,na,NA,NA,NA,0,0,0,0
PHL,Philippines,na,ISCO-08,ISCO-08,ISCO-08,0,0,0,0
POL,Poland,na,NA,NA,NA,0,0,0,0
PRT,Portugal,NACE Rev2,ISCO-08,ISCO-08,NA,0,0,0,NA
QAT,Qatar,na,NA,NA,NA,0,0,0,NA
ROU,Romania,ICSE-93,ICSE-93,ICSE-93,ICSE-93,1,1,1,1
RUS,Russian Federation,na,ISCO-08,ISCO-08,ISCO-08,0,0,0,0
RWA,Rwanda,na,NA,NA,NA,0,0,0,0
WSM,Samoa,na,NA,NA,NA,0,0,0,0
SMR,San Marino,ICSE-93,ICSE-93,ICSE-93,NA,1,1,1,NA
NA,São Tomé and Principe,na,NA,NA,NA,0,0,0,0
SAU,Saudi Arabia,na,NA,NA,NA,0,0,0,NA
SEN,Senegal,na,"ISCO, ISIC, ISCED","ISCO, ISIC, ISCED","ISCO, ISIC, ISCED",0,0,0,0
SRB,Serbia,na,ICSE-93,ICSE-93,ICSE-93,0,1,1,1
SYC,Seychelles,na,NA,NA,NA,0,0,0,0
SLE,Sierra Leone,na,NA,NA,NA,0,0,0,0
SGP,Singapore,na,ISCO-08,ISCO-08,NA,0,0,0,NA
SVK,Slovak Republic,na,ICSE-93,ICSE-93,NA,0,1,1,NA
SVN,Slovenia,na,ISCO-08,ISCO-08,NA,0,0,0,NA
SLB,Solomon Islands,na,NA,NA,NA,0,0,0,0
SOM,Somalia,na,na,na,na,0,0,0,0
ZAF,South Africa,na,SASCO,SASCO,SASCO,0,0,0,0
SSD,South Sudan,na,na,na,na,0,0,0,0
ESP,Spain,CNO-2011/ ISCO-2008.COM  (linked to ICSE),ISCO-08,ISCO-08,NA,0,0,0,NA
LKA,Sri Lanka,na,ISCO-08,ISCO-08,ISCO-08,0,0,0,0
KNA,St. Kitts and Nevis,0,ISCO-88,ISCO-88,ISCO-88,0,0,0,0
LCA,St. Lucia,na,ISCO-88,ISCO-88,ISCO-88,0,0,0,0
VCT,St. Vincent and the Grenadines,na,ISCO-88,ISCO-88,ISCO-88,0,0,0,0
SDN,Sudan,na,NA,NA,NA,0,0,0,0
SUR,Suriname,na,ISCO-88,ISCO-88,ISCO-88,0,0,0,0
SWE,Sweden,SE-SIC 07/ NACE Rev. 2  (linked to ICSE),ISCO-08,ISCO-08,NA,0,0,0,NA
CHE,Switzerland,na,NA,NA,NA,0,0,0,NA
SYR,Syrian Arab Republic,na,NA,NA,NA,0,0,0,0
TJK,Tajikistan,ICSE,NA,NA,NA,0,0,0,0
TZA,Tanzania,ICSE-93,ICSE-93,ICSE-93,ICSE-93,1,1,1,1
THA,Thailand,ICSE-93,ICSE-93,ICSE-93,ICSE-93,1,1,1,1
TLS,Timor-Leste,na,NA,NA,ISCO-08,0,0,0,0
TGO,Togo,na,NA,NA,NA,0,0,0,0
TON,Tonga,na,NA,NA,NA,0,0,0,0
TTO,Trinidad and Tobago,na,NA,NA,NA,0,0,0,0
TUN,Tunisia,na,NA,NA,NA,0,0,0,0
TUR,Turkey,ICSE-93,ICSE-93,ICSE-93,ICSE-93,1,1,1,1
TKM,Turkmenistan,na,na,na,na,0,0,0,0
TUV,Tuvalu,0,0,0,na,0,0,0,0
UGA,Uganda,ICSE-93,ICSE-93,ICSE-93,ICSE-93,1,1,1,1
UKR,Ukraine,na,ICSE-93,ICSE-93,ICSE-93,0,1,1,1
ARE,United Arab Emirates,na,NA,NA,NA,0,0,0,NA
GBR,United Kingdom,na,SOC-10,SOC-10,NA,0,0,0,NA
USA,United States,NAICS,NAICS,NAICS,NA,1,1,1,NA
URY,Uruguay,na,ISCO-08,ISCO-08,ISCO-08,0,0,0,0
UZB,Uzbekistan,na,NA,NA,NA,0,0,0,0
VUT,Vanuatu,na,NA,NA,NA,0,0,0,0
VEN,"Venezuela, RB",na,ISCO-88,ISCO-88,ISCO-88,0,0,0,0
VNM,Vietnam,na,NA,NA,NA,0,0,0,0
PSE,West Bank and Gaza,na,ISCO-08,ISCO-08,ISCO-08,0,0,0,0
YEM,"Yemen, Rep.",na,NA,NA,NA,0,0,0,0
ZMB,Zambia,yes,NA,NA,NA,0,0,0,0
ZWE,Zimbabwe,na,NA,NA,NA,0,0,0,0
