iso3c,country,POPU.CENSUS_2016,POPU.CENSUS_2017,POPU.CENSUS_2018,SPI.D2.1.POPU_2016,SPI.D2.1.POPU_2017,SPI.D2.1.POPU_2018
WSM,Samoa,"2001, 2006, 2011, 2016","2001, 2006, 2011, 2016","2001, 2006, 2011, 2016",1,1,1
SMR,San Marino,2010,2010,2010,1,1,1
NA,São Tomé and Principe,"2001, 2012","2001, 2012","2001, 2012",1,1,1
SAU,Saudi Arabia,"2004, 2010","2004, 2010","2004, 2010",1,1,1
SEN,Senegal,"2002, 2013","2002, 2013","2002, 2013",1,1,1
SRB,Serbia,"2002, 2011","2002, 2011","2002, 2011",1,1,1
SYC,Seychelles,"2002, 2010","2002, 2010","2002, 2010",1,1,1
SLE,Sierra Leone,"2004, 2015","2004, 2015","2004, 2015",1,1,1
SGP,Singapore,"2000, 2010","2000, 2010","2000, 2010",1,1,1
SVK,Slovak Republic,"2001, 2011","2001, 2011","2001, 2011",1,1,1
SVN,Slovenia,"2002, 2011, 2015","2002, 2011, 2015","2002, 2011, 2015",1,1,1
SLB,Solomon Islands,"1999, 2009","1999, 2009","1999, 2009",1,1,1
SOM,Somalia,"1987, 1996","1987, 1996","1987, 1996",0.5,0,0
ZAF,South Africa,"1996, 2001, 2011, 2016","1996, 2001, 2011, 2016","1996, 2001, 2011, 2016",1,1,1
SSD,South Sudan,"2008, 2017","2008, 2017","2008, 2017",1,1,1
ESP,Spain,"2001, 2011","2001, 2011","2001, 2011",1,1,1
LKA,Sri Lanka,"2001, 2012","2001, 2012","2001, 2012",1,1,1
KNA,St. Kitts and Nevis,"2001, 2011","2001, 2011","2001, 2011",1,1,1
LCA,St. Lucia,"2001, 2010","2001, 2010","2001, 2010",1,1,1
VCT,St. Vincent and the Grenadines,"2001, 2012","2001, 2012","2001, 2012",1,1,1
SDN,Sudan,"2008, 2018","2008, 2018","2008, 2018",1,1,1
SUR,Suriname,"2003, 2012","2003, 2012","2003, 2012",1,1,1
NA,Swaziland,"2007, 2017","2007, 2017","2007, 2017",1,1,1
SWE,Sweden,2011,2011,2011,1,1,1
CHE,Switzerland,"2000, 2010","2000, 2010","2000, 2010",1,1,1
SYR,Syrian Arab Republic,2004,2004,2004,0.5,0.5,0.5
TJK,Tajikistan,"2000, 2010","2000, 2010","2000, 2010",1,1,1
TZA,Tanzania,"2002, 2012","2002, 2012","2002, 2012",1,1,1
THA,Thailand,"2000, 2010","2000, 2010","2000, 2010",1,1,1
TLS,Timor-Leste,"2004, 2010, 2015","2004, 2010, 2015","2004, 2010, 2015",1,1,1
TGO,Togo,2010,2010,2010,1,1,1
TON,Tonga,"2001, 2006, 2011, 2016","2001, 2006, 2011, 2016","2001, 2006, 2011, 2016",1,1,1
TTO,Trinidad and Tobago,"2000, 2011","2000, 2011","2000, 2011",1,1,1
TUN,Tunisia,"2004, 2014","2004, 2014","2004, 2014",1,1,1
TUR,Turkey,"2000, 2007, 2011","2000, 2007, 2011","2000, 2007, 2011",1,1,1
TKM,Turkmenistan,2012,2012,2012,1,1,1
TUV,Tuvalu,"2002, 2012","2002, 2012","2002, 2012",1,1,1
UGA,Uganda,"2002, 2014","2002, 2014","2002, 2014",1,1,1
UKR,Ukraine,2001,2001,2001,0.5,0.5,0.5
ARE,United Arab Emirates,"2005, 2010","2005, 2010","2005, 2010",1,1,1
GBR,United Kingdom,"2001, 2011","2001, 2011","2001, 2011",1,1,1
USA,United States,"2000, 2010","2000, 2010","2000, 2010",1,1,1
URY,Uruguay,"2004, 2011","2004, 2011","2004, 2011",1,1,1
UZB,Uzbekistan,1989,1989,1989,0,0,0
VUT,Vanuatu,"1999, 2009, 2016","1999, 2009, 2016","1999, 2009, 2016",1,1,1
VEN,"Venezuela, RB","2001, 2011","2001, 2011","2001, 2011",1,1,1
VNM,Vietnam,"1999, 2009","1999, 2009","1999, 2009",1,1,1
PSE,West Bank and Gaza,"1997, 2007, 2017","1997, 2007, 2017","1997, 2007, 2017",1,1,1
YEM,"Yemen, Rep.",2004,2004,2004,0.5,0.5,0.5
ZMB,Zambia,"2000, 2010","2000, 2010","2000, 2010",1,1,1
ZWE,Zimbabwe,"2002, 2012","2002, 2012","2002, 2012",1,1,1
