iso3c,country,AGRI.SURVEYS_2016,AGRI.SURVEYS_2017,AGRI.SURVEYS_2018,SPI.D2.5.AGRI_2016,SPI.D2.5.AGRI_2017,SPI.D2.5.AGRI_2018
CYP,Cyprus,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
CZE,Czech Republic,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
DNK,Denmark,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
DJI,Djibouti,NA,NA,NA,0,0,0
DMA,Dominica,NA,NA,NA,0,0,0
DOM,Dominican Republic,NA,NA,NA,0,0,0
ECU,Ecuador,NA,NA,NA,0,0,0
EGY,"Egypt, Arab Rep.",NA,NA,NA,0,0,0
SLV,El Salvador,NA,NA,NA,0,0,0
GNQ,Equatorial Guinea,NA,NA,NA,0,0,0
ERI,Eritrea,NA,NA,NA,0,0,0
EST,Estonia,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
ETH,Ethiopia,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015","1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015","1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015",1,1,1
FJI,Fiji,NA,NA,NA,0,0,0
FIN,Finland,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
FRA,France,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
GAB,Gabon,NA,NA,NA,0,0,0
GMB,"Gambia, The","2005, 2006","2005, 2006","2005, 2006",0.3,0,0
GEO,Georgia,2012,2012,2012,0.3,0.3,0.3
DEU,Germany,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
GHA,Ghana,NA,NA,NA,0,0,0
GRC,Greece,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
GRD,Grenada,0,0,0,0,0,0
GTM,Guatemala,"2015, 2014, 2013","2015, 2014, 2013","2015, 2014, 2013",1,1,1
GIN,Guinea,NA,NA,NA,0,0,0
GNB,Guinea-Bissau,NA,NA,NA,0,0,0
GUY,Guyana,NA,NA,NA,0,0,0
HTI,Haiti,NA,NA,NA,0,0,0
HND,Honduras,"2009, 2008, 2007, 2006","2009, 2008, 2007, 2006","2009, 2008, 2007, 2006",1,1,0.6
HUN,Hungary,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
ISL,Iceland,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
IND,India,2003,2003,2003,0,0,0
IDN,Indonesia,NA,NA,NA,0,0,0
IRN,"Iran, Islamic Rep.",NA,NA,NA,0,0,0
IRQ,Iraq,NA,NA,NA,0,0,0
IRL,Ireland,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
ISR,Israel,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
ITA,Italy,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
JAM,Jamaica,NA,NA,NA,0,0,0
JPN,Japan,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
JOR,Jordan,NA,NA,NA,0,0,0
KAZ,Kazakhstan,NA,NA,NA,0,0,0
KEN,Kenya,NA,NA,NA,0,0,0
KIR,Kiribati,NA,NA,NA,0,0,0
KOR,"Korea, Rep.","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
XKX,Kosovo,2015,2015,2015,0.3,0.3,0.3
KWT,Kuwait,NA,NA,NA,0,0,0
KGZ,Kyrgyz Republic,NA,NA,NA,0,0,0
LAO,Lao PDR,NA,NA,NA,0,0,0
LVA,Latvia,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
LBN,Lebanon,NA,NA,NA,0,0,0
LSO,Lesotho,", 2009, 2011, 2013, 2014, 2016, 2017, 2018",", 2009, 2011, 2013, 2014, 2016, 2017, 2018",", 2009, 2011, 2013, 2014, 2016, 2017, 2018",1,1,1
LBR,Liberia,NA,NA,NA,0,0,0
LBY,Libya,0,0,0,0,0,0
LTU,Lithuania,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
LUX,Luxembourg,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
NA,"Macedonia, FYR",NA,NA,NA,0,0,0
MDG,Madagascar,NA,NA,NA,0,0,0
MWI,Malawi,NA,NA,NA,0,0,0
MYS,Malaysia,NA,NA,NA,0,0,0
MDV,Maldives,NA,NA,NA,0,0,0
MLI,Mali,"2008, 2014, 2015","2008, 2014, 2015","2008, 2014, 2015",1,1,1
MLT,Malta,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
MHL,Marshall Islands,NA,NA,NA,0,0,0
MRT,Mauritania,NA,NA,NA,0,0,0
MUS,Mauritius,", 2005",", 2005",", 2005",0,0,0
MEX,Mexico,"2012, 2014, 2017","2012, 2014, 2017","2012, 2014, 2017",0.6,0.6,1
FSM,"Micronesia, Fed. Sts.",NA,NA,NA,0,0,0
MDA,Moldova,NA,NA,NA,0,0,0
MNG,Mongolia,NA,NA,NA,0,0,0
MNE,Montenegro,NA,NA,NA,0,0,0
MAR,Morocco,NA,NA,NA,0,0,0
MOZ,Mozambique,NA,NA,NA,0,0,0
MMR,Myanmar,NA,NA,NA,0,0,0
NAM,Namibia,NA,NA,NA,0,0,0
NRU,Nauru,NA,NA,NA,0,0,0
NPL,Nepal,NA,NA,NA,0,0,0
NLD,Netherlands,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
NZL,New Zealand,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
NIC,Nicaragua,2011,2011,2011,0.3,0.3,0.3
NER,Niger,"2010, 2012, 2015","2010, 2012, 2015","2010, 2012, 2015",1,1,1
NGA,Nigeria,"2006, 2007","2006, 2007","2006, 2007",0.6,0.3,0
NOR,Norway,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
OMN,Oman,0,0,0,0,0,0
PAK,Pakistan,NA,NA,NA,0,0,0
PLW,Palau,NA,NA,NA,0,0,0
PAN,Panama,NA,NA,NA,0,0,0
PNG,Papua New Guinea,NA,NA,NA,0,0,0
PRY,Paraguay,NA,NA,NA,0,0,0
PER,Peru,"2014, 2015","2014, 2015","2014, 2015",0.6,0.6,0.6
PHL,Philippines,"2009, 2015, 2016","2009, 2015, 2016","2009, 2015, 2016",0.6,1,1
POL,Poland,"2005, 2007, 2013, 2016","2005, 2007, 2013, 2016","2005, 2007, 2013, 2016",0.6,1,0.6
PRT,Portugal,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
QAT,Qatar,NA,NA,NA,0,0,0
ROU,Romania,"2005, 2007, 2013, 2016","2005, 2007, 2013, 2016","2005, 2007, 2013, 2016",0.6,1,0.6
RUS,Russian Federation,NA,NA,NA,0,0,0
RWA,Rwanda,"2007, 2008, 2016, 2017","2007, 2008, 2016, 2017","2007, 2008, 2016, 2017",0.6,1,1
WSM,Samoa,NA,NA,NA,0,0,0
SMR,San Marino,0,0,0,0,0,0
NA,São Tomé and Principe,0,0,0,0,0,0
SAU,Saudi Arabia,NA,NA,NA,0,0,0
SEN,Senegal,", 2011, 2012",", 2011, 2012",", 2011, 2012",0.6,0.6,0.6
SRB,Serbia,NA,NA,NA,0,0,0
SYC,Seychelles,NA,NA,NA,0,0,0
SLE,Sierra Leone,NA,NA,NA,0,0,0
SGP,Singapore,NA,NA,NA,0,0,0
SVK,Slovak Republic,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
SVN,Slovenia,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
SLB,Solomon Islands,NA,NA,NA,0,0,0
SOM,Somalia,NA,NA,NA,0,0,0
ZAF,South Africa,NA,NA,NA,0,0,0
SSD,South Sudan,NA,NA,NA,0,0,0
ESP,Spain,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
LKA,Sri Lanka,", , 1993",", , 1993",", , 1993",0,0,0
KNA,St. Kitts and Nevis,0,0,0,0,0,0
LCA,St. Lucia,NA,NA,NA,0,0,0
VCT,St. Vincent and the Grenadines,0,0,0,0,0,0
SDN,Sudan,NA,NA,NA,0,0,0
SUR,Suriname,NA,NA,NA,0,0,0
NA,Swaziland,NA,NA,NA,0,0,0
SWE,Sweden,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
CHE,Switzerland,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
SYR,Syrian Arab Republic,NA,NA,NA,0,0,0
TJK,Tajikistan,NA,NA,NA,0,0,0
TZA,Tanzania,"2004, 2009, 2015","2004, 2009, 2015","2004, 2009, 2015",0.6,0.6,0.6
THA,Thailand,NA,NA,NA,0,0,0
TLS,Timor-Leste,NA,NA,NA,0,0,0
TGO,Togo,NA,NA,NA,0,0,0
TON,Tonga,NA,NA,NA,0,0,0
TTO,Trinidad and Tobago,NA,NA,NA,0,0,0
TUN,Tunisia,2005,2005,2005,0,0,0
TUR,Turkey,"2006, 2016","2006, 2016","2006, 2016",0.3,0.3,0.3
TKM,Turkmenistan,NA,NA,NA,0,0,0
TUV,Tuvalu,NA,NA,NA,0,0,0
