iso3c,country,database_last_updated,AGRI.CENSUS
KOR,"Korea, Rep.",2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
XKX,Kosovo,2018," 2011, 2014"
KWT,Kuwait,2018, 2005
KGZ,Kyrgyz Republic,2018, 2002
LAO,Lao PDR,2018," , 1999, 2011, 2015"
LVA,Latvia,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
LBN,Lebanon,2018, 2010
LSO,Lesotho,2018," 2000, 2010"
LBR,Liberia,2018, 2008
LBY,Libya,2018, 2006
LTU,Lithuania,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
LUX,Luxembourg,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
MDG,Madagascar,2018, 1993
MWI,Malawi,2018, 2007
MYS,Malaysia,2018," 2010, 2016"
MDV,Maldives,2018, 2014
MLI,Mali,2018, 2009
MLT,Malta,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
MHL,Marshall Islands,2018, 2011
MRT,Mauritania,2018, 2013
MUS,Mauritius,2018," 2011, 2014"
MEX,Mexico,2018, 2007
FSM,"Micronesia, Fed. Sts.",2018, 2010
MDA,Moldova,2018," 2011, 2014"
MNG,Mongolia,2018, 2011
MNE,Montenegro,2018, 2010
MAR,Morocco,2018, 2014
MOZ,Mozambique,2018," 2007, 2010"
MMR,Myanmar,2018," 2003, 2010"
NAM,Namibia,2018, 2014
NRU,Nauru,2018, 2012
NPL,Nepal,2018," 2002, 2012"
NLD,Netherlands,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
NZL,New Zealand,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
NIC,Nicaragua,2018," 2001, 2011"
NER,Niger,2018," 2008, 2012"
NGA,Nigeria,2018, 2006
MKD,"Macedonia, FYR",2018, 2007
NOR,Norway,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
OMN,Oman,2018," 2010, 2013"
PAK,Pakistan,2018," 2000, 2010"
PLW,Palau,2018, 2015
PAN,Panama,2018," 2001, 2011"
PNG,Papua New Guinea,2018, 2011
PRY,Paraguay,2018," 2008, 2012"
PER,Peru,2018," 2007, 2012"
PHL,Philippines,2018," 2003, 2012"
POL,Poland,2018," 2002, 2010"
PRT,Portugal,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
QAT,Qatar,2018, 2010
ROU,Romania,2018," 2003, 2010"
RUS,Russian Federation,2018," 2006, 2010"
RWA,Rwanda,2018, 2012
WSM,Samoa,2018, 2009
SMR,San Marino,2018, 2010
STP,São Tomé and Principe,2018, 2012
SAU,Saudi Arabia,2018," 2010, 2015"
SEN,Senegal,2018," 2013, 2016"
SRB,Serbia,2018, 2012
SYC,Seychelles,2018, 2011
SLE,Sierra Leone,2018, 2015
SGP,Singapore,2018, 2010
SVK,Slovak Republic,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
SVN,Slovenia,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
SLB,Solomon Islands,2018, 2009
SOM,Somalia,2018, 1987
ZAF,South Africa,2018," 2007, 2011"
SSD,South Sudan,2018, 2008
ESP,Spain,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
LKA,Sri Lanka,2018," 2002, 2014"
KNA,St. Kitts and Nevis,2018, 2011
LCA,St. Lucia,2018," 2007, 2010"
VCT,St. Vincent and the Grenadines,2018," 2000, 2012"
SDN,Sudan,2018, 2008
SUR,Suriname,2018," 2009, 2012"
SWE,Sweden,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
CHE,Switzerland,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
SYR,Syrian Arab Republic,2018, 2004
TJK,Tajikistan,2018," 2010, 2013"
TZA,Tanzania,2018," 2008, 2015"
THA,Thailand,2018," 2003, 2013"
TLS,Timor-Leste,2018, 2015
TGO,Togo,2018," 2010, 2014"
TON,Tonga,2018," 2001, 2015"
TTO,Trinidad and Tobago,2018," 2004, 2011"
TUN,Tunisia,2018, 2014
TUR,Turkey,2018, 2001
TKM,Turkmenistan,2018, 2012
TUV,Tuvalu,2018, 2012
UGA,Uganda,2018," 2008, 2009"
UKR,Ukraine,2018, 2001
ARE,United Arab Emirates,2018, 2012
GBR,United Kingdom,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
USA,United States,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
URY,Uruguay,2018," 2000, 2011"
UZB,Uzbekistan,2018, 1989
VUT,Vanuatu,2018," 2006, 2007, 2008"
VEN,"Venezuela, RB",2018," 2008, 2011"
VNM,Vietnam,2018," 2001, 2006, 2011"
YEM,"Yemen, Rep.",2018, 2002
ZMB,Zambia,2018, 2010
ZWE,Zimbabwe,2018, 2012
PSE,West Bank and Gaza,2018," 2007, 2010"
