Country Name,3 digit country code,Date,"Dimension 1: Methodology, Standards & Classifications (MSC)",Dimension 1: System of National Accounts in use,Dimension 1: National Accounts base year ,Dimension 1: Classification of national industry,Dimension 1: CPI base year,Dimension 1: Classification of household consumption,Dimension 1: Classification of status of employment,Dimension 1: Central government accounting status,Dimension 1: Compilation of government finance statistics,Dimension 1: Compilation of monetary and financial statistics,Dimension 1: SDDS/e-GDDS subscription,Dimension 1: CRVS,Dimension 1: Business process,Dimension 2: Censuses and Surveys (CS),Dimension 2: Population & Housing census,Dimension 2: Agriculture census,Dimension 2: Business/establishment census,Dimension 2: Household Survey on income/consumption/expenditure/budget/Integrated Survey ,Dimension 2: Agriculture survey,Dimension 2: Labor Force Survey,Dimension 2: Health/Demographic survey,Dimension 2: Business/establishment survey,Dimension 3: Availability of Key Indicators (AKI),Dimension 3: Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Dimension 3: Food Insecurity Experience Scale,"Dimension 3: Mortality rate, under-5 (per 1,000 live births)",Dimension 3: Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,Dimension 3: Maternal Mortality,Dimension 3: People using safely managed drinking water services (% of population),Dimension 3: Access to electricity (% of population),"Dimension 3: Unemployment, total (% of total labor force) (national estimate)","Dimension 3: Manufacturing, value added (% of GDP)","Dimension 3: Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",Dimension 3: Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Dimension 3: Renewable energy consumption (% of total final energy consumption),Dimension 3: Households and NPISHs Final consumption expenditure (current LCU),Dimension 3: Quarterly GDP,"Dimension 3: Debt service (PPG and IMF only, % of exports of goods, services and primary income)",Dimension 4: Dissemination Practices & Openness (DPO),Dimension 4: NSO has an Advance Release Calendar and it is published ,Dimension 4: NSO has a listing of surveys and microdata sets (or NADA),Dimension 4: NSO has a data portal,Dimension 4: Timeseries indicators are available for download in reusable format for free,"Dimension 4: Metadata is available providing definition, methodology, standards or classifications for existing data series",Dimension 4: NSO has conducted a user satisfaction survey,Dimension 4: Geospatial data available on relevant agency website,SPI Overall Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia,BOL,2016,16.6666666666667,0,0,0.5,0,0,0,0,0,1,0.5,0,0,37.5,1,1,0,1,0,0,0,0,46.6666666666667,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,42.8571428571429,0,1,0,1,0,0,1,35.922619047619,BO,La Paz,-66.1936,-13.9908,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,Bolivia,0,0,0,0,1,1,11031813
Brazil,BRA,2016,54.1666666666667,1,0,1,0.5,1,0,1,0,1,1,0,0,62.5,1,1,0,1,1,1,0,0,63.3333333333333,1,0,1,0,0.5,0,1,1,1,0,0,1,1,1,1,71.4285714285714,1,1,1,1,1,0,0,62.8571428571429,BR,Brasilia,-47.9292,-15.7801,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Brazil,1,1,1,0,1,1,206163058
Bhutan,BTN,2016,20.8333333333333,0.5,0,0,0,0,0,0.5,0,1,0.5,0,0,37.5,0,1,0,1,0,1,0,0,46.6666666666667,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,42.8571428571429,0,1,1,1,0,0,0,36.9642857142857,BT,Thimphu,89.6177,27.5768,SAS,8S,South Asia,SAS,8S,South Asia,LMC,XN,Lower middle income,IDX,XI,IDA,Bhutan,0,0,0,0,1,1,736709
Botswana,BWA,2016,29.1666666666667,0.5,0.5,0,0,1,0,0,0,1,0.5,0,0,25,1,1,0,0,0,0,0,0,50,0,1,0,0,0.5,0,1,0,1,0,0,1,1,1,1,57.1428571428571,1,1,0,0,1,0,1,40.3273809523809,BW,Gaborone,25.9201,-24.6544,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Botswana,0,0,1,0,NA,NA,2159944
Central African Republic,CAF,2016,16.6666666666667,0,0,0.5,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9.16666666666667,CF,Bangui,21.6407,5.63056,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Central African Republic,0,0,0,0,NA,NA,4537687
Chile,CHL,2016,62.5,0.5,0.5,0.5,0.5,1,0,0,0.5,1,1,1,1,50,1,1,0,1,0,1,0,0,70,1,1,1,0,0.5,1,1,1,1,0,0,1,1,1,0,71.4285714285714,1,1,1,1,1,0,0,63.4821428571429,CL,Santiago,-70.6475,-33.475,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,IBD,XF,IBRD,Chile,1,1,1,0,0,0,18209068
China,CHN,2016,45.8333333333333,0.5,0,1,1,1,0,0.5,0.5,0,1,0,0,37.5,1,1,0,1,0,0,0,0,63.3333333333333,1,1,1,0,0.5,0,0,1,1,0,0,1,1,1,1,71.4285714285714,1,0,1,1,1,0,1,54.5238095238095,CN,Beijing,116.286,40.0495,EAS,Z4,East Asia & Pacific,EAP,4E,East Asia & Pacific (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,China,1,1,1,0,NA,NA,1378665000
Cote d'Ivoire,CIV,2016,16.6666666666667,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,25,1,1,0,0,0,0,0,0,50,0,1,0.5,0,0,1,0,1,1,0,0,1,1,0,1,28.5714285714286,0,1,0,1,0,0,0,30.0595238095238,CI,Yamoussoukro,-4.0305,5.332,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Cote d'Ivoire,1,0,0,0,1,1,23822714
Cameroon,CMR,2016,33.3333333333333,0.5,0,1,0,1,0,0,0,1,0.5,0,0,12.5,0,0,0,0,0,0,1,0,43.3333333333333,0,1,0.5,0,0,0,1,0,1,0,0,1,1,0,1,28.5714285714286,0,1,0,1,0,0,0,29.4345238095238,CM,Yaounde,11.5174,3.8721,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,Cameroon,1,0,0,0,1,1,23926539
"Congo, Dem. Rep.",COD,2016,16.6666666666667,0,0,0.5,0,0,0,0,0,1,0.5,0,0,25,0,0,0,0,0,0,1,1,26.6666666666667,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,17.0833333333333,CD,Kinshasa,15.3222,-4.325,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,NA,0,0,0,0,NA,NA,78789127
"Congo, Rep.",COG,2016,29.1666666666667,0,0,0,0,1,0,1,0,1,0.5,0,0,25,1,1,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,21.875,CG,Brazzaville,15.2662,-4.2767,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,NA,0,0,0,0,1,1,4980999
Colombia,COL,2016,50,0.5,0,1,0.5,0,0,1,0,1,1,0,1,75,1,1,0,1,1,1,0,1,66.6666666666667,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,100,1,1,1,1,1,1,1,72.9166666666667,CO,Bogota,-74.082,4.60987,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Colombia,0,0,1,1,1,1,48171392
Comoros,COM,2016,20.8333333333333,0,0,0,0,1,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,26.6666666666667,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,11.875,KM,Moroni,43.2418,-11.6986,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Comoros,0,0,0,0,1,1,795592
Cabo Verde,CPV,2016,33.3333333333333,0.5,0.5,0,0,0,0,0.5,0,1,0.5,1,0,37.5,1,1,0,0,0,1,0,0,53.3333333333333,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,71.4285714285714,1,1,0,1,1,0,1,48.8988095238095,CV,Praia,-23.5087,14.9218,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,Cabo Verde,1,1,1,1,1,1,531146
Costa Rica,CRI,2016,58.3333333333333,0.5,0,1,0.5,1,0,1,0,1,1,1,0,50,1,1,0,1,0,1,0,0,80,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,100,1,1,1,1,1,1,1,72.0833333333333,CR,San Jose,-84.0089,9.63701,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Costa Rica,1,1,1,1,1,1,4899345
Djibouti,DJI,2016,8.33333333333333,0,0,0,0,0,0,0,0.5,0,0.5,0,0,12.5,1,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,13.5416666666667,DJ,Djibouti,43.1425,11.5806,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Djibouti,0,0,NA,NA,1,1,929112
Dominica,DMA,2016,45.8333333333333,0.5,0.5,0.5,0.5,1,0,0,0,1,0.5,1,0,12.5,1,0,0,0,0,0,0,0,23.3333333333333,0,0,0.5,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,20.4166666666667,DM,Roseau,-61.39,15.2976,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IDB,XH,Blend,NA,0,1,NA,NA,1,1,71307
Dominican Republic,DOM,2016,54.1666666666667,1,0.5,1,0.5,1,0,1,0,1,0.5,0,0,50,1,0,0,1,0,1,1,0,56.6666666666667,1,0,0,0,0.5,0,1,1,1,0,0,1,1,1,1,57.1428571428571,0,1,1,1,1,0,0,54.4940476190476,DO,Santo Domingo,-69.8908,18.479,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Dominican Republic,0,0,1,0,1,1,10397743
Algeria,DZA,2016,25,0,0,0.5,0,1,0,0,0,1,0.5,0,0,25,1,0,1,0,0,0,0,0,46.6666666666667,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,14.2857142857143,0,0,1,0,0,0,0,27.7380952380952,DZ,Algiers,3.05097,36.7397,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Algeria,1,1,0,0,1,1,40551404
Ecuador,ECU,2016,50,1,0.5,1,0,1,0,0,0.5,1,1,0,0,62.5,1,0,1,1,0,1,0,1,73.3333333333333,1,1,0.5,0,0.5,1,1,1,1,0,0,1,1,1,1,71.4285714285714,1,1,1,1,1,0,0,64.3154761904762,EC,Quito,-78.5243,-0.229498,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Ecuador,0,1,1,0,1,1,16491115
"Egypt, Arab Rep.",EGY,2016,66.6666666666667,0.5,0.5,1,0.5,1,0,0,0.5,1,1,1,1,50,1,1,0,1,0,1,0,0,53.3333333333333,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,71.4285714285714,1,1,1,1,1,0,0,60.3571428571429,EG,Cairo,31.2461,30.0982,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,NA,0,0,1,1,1,1,94447072
Eritrea,ERI,2016,8.33333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.75,ER,Asmara,38.9183,15.3315,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,NA,0,0,0,0,0,0,NA
Ethiopia,ETH,2016,16.6666666666667,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0,0,50,1,0,0,0,1,1,0,1,43.3333333333333,0,0,0.5,0,0,1,1,0,1,0,0,1,1,0,1,14.2857142857143,0,1,0,0,0,0,0,31.0714285714286,ET,Addis Ababa,38.7468,9.02274,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Ethiopia,1,0,0,0,1,1,103603501
Fiji,FJI,2016,37.5,0.5,0,1,0.5,0,0,0,0,1,0.5,1,0,37.5,1,1,0,1,0,0,0,0,43.3333333333333,0,0,0.5,0,1,0,1,1,1,0,0,1,0,0,1,28.5714285714286,0,1,0,1,0,0,0,36.7261904761905,FJ,Suva,178.399,-18.1149,EAS,Z4,East Asia & Pacific,EAP,4E,East Asia & Pacific (excluding high income),UMC,XT,Upper middle income,IDB,XH,Blend,Fiji,0,1,1,1,1,1,872399
"Micronesia, Fed. Sts.",FSM,2016,16.6666666666667,0.5,0,0,0,1,0,0,0,0,0.5,0,0,12.5,1,0,0,0,0,0,0,0,13.3333333333333,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,28.5714285714286,0,0,0,1,1,0,0,17.7678571428571,FM,Palikir,158.185,6.91771,EAS,Z4,East Asia & Pacific,EAP,4E,East Asia & Pacific (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,NA,0,0,NA,NA,0,0,110215
Gabon,GAB,2016,20.8333333333333,0.5,0,0.5,0,0,0,0,0,1,0.5,0,0,12.5,1,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,14.2857142857143,0,0,0,1,0,0,0,20.2380952380952,GA,Libreville,9.45162,0.38832,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Gabon,0,0,0,0,NA,NA,2007873
Georgia,GEO,2016,79.1666666666667,0.5,1,0.5,0.5,1,1,0.5,0.5,1,1,1,1,50,1,1,0,1,0,1,0,0,80,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,71.4285714285714,1,1,0,1,1,0,1,70.1488095238095,GE,Tbilisi,44.793,41.71,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Georgia,1,1,1,1,1,1,3727505
Ghana,GHA,2016,41.6666666666667,0.5,0.5,1,0.5,1,0,0,0,1,0.5,0,0,37.5,1,0,0,1,0,0,1,0,53.3333333333333,0.5,1,0.5,0,0,1,1,0,1,0,0,1,1,0,1,42.8571428571429,1,1,0,0,0,1,0,43.8392857142857,GH,Accra,-0.20795,5.57045,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Ghana,1,0,0,0,1,1,28481946
Guinea,GIN,2016,8.33333333333333,0.5,0,0,0,0,0,0,0,0,0.5,0,0,12.5,1,0,0,0,0,0,0,0,40,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,14.2857142857143,0,1,0,0,0,0,0,18.7797619047619,GN,Conakry,-13.7,9.51667,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Guinea,0,0,0,0,1,1,11738441
"Gambia, The",GMB,2016,25,0.5,0,0.5,0,0,0,0.5,0,1,0.5,0,0,25,1,1,0,0,0,0,0,0,33.3333333333333,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,14.2857142857143,0,1,0,0,0,0,0,24.4047619047619,GM,Banjul,-16.5885,13.4495,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,"Gambia, The",0,0,0,0,1,1,2149139
Guinea-Bissau,GNB,2016,12.5,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,25,1,0,0,0,0,0,1,0,33.3333333333333,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,14.2857142857143,0,1,0,0,0,0,0,21.2797619047619,GW,Bissau,-15.1804,11.8037,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Guinea-Bissau,0,0,0,0,NA,NA,1782437
Equatorial Guinea,GNQ,2016,16.6666666666667,0,0.5,0,0.5,0,0,0,0,1,0,0,0,25,1,1,0,0,0,0,0,0,26.6666666666667,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,17.0833333333333,GQ,Malabo,8.7741,3.7523,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,NA,0,0,0,0,0,0,1215179
Grenada,GRD,2016,33.3333333333333,0,0.5,0.5,0.5,0,0,0,0,1,0.5,1,0,25,1,1,0,0,0,0,0,0,43.3333333333333,0,0,0.5,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,25.4166666666667,GD,Saint George's,-61.7449,12.0653,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IDB,XH,Blend,NA,0,1,1,1,1,1,110261
