iso3c,country,HLTH.SURVEYS_2016,HLTH.SURVEYS_2017,HLTH.SURVEYS_2018,HLTH.SURVEYS_2019,SPI.D2.7.HLTH_2016,SPI.D2.7.HLTH_2017,SPI.D2.7.HLTH_2018,SPI.D2.7.HLTH_2019
MDG,Madagascar,"1992, 1995, 1997, 2000, 2003, 2008, 2018","1992, 1995, 1997, 2000, 2003, 2008, 2018","1992, 1995, 1997, 2000, 2003, 2008, 2018","1992, 1995, 1997, 2000, 2003, 2008, 2018",0.3,0.3,0.3,0.3
MWI,Malawi,"1992, 1995, 2000, 2004, 2006, 2010, 2013, 2015, 2019","1992, 1995, 2000, 2004, 2006, 2010, 2013, 2015, 2019","1992, 1995, 2000, 2004, 2006, 2010, 2013, 2015, 2019","1992, 1995, 2000, 2004, 2006, 2010, 2013, 2015, 2019",1,1,1,1
MYS,Malaysia,NA,NA,NA,NA,0,0,0,0
MDV,Maldives,"1995, 2001, 2009, 2016","1995, 2001, 2009, 2016","1995, 2001, 2009, 2016","1995, 2001, 2009, 2016",0.3,0.6,0.6,0.6
MLI,Mali,"1987, 1995, 1996, 2001, 2006, 2009, 2012, 2015, 2018","1987, 1995, 1996, 2001, 2006, 2009, 2012, 2015, 2018","1987, 1995, 1996, 2001, 2006, 2009, 2012, 2015, 2018","1987, 1995, 1996, 2001, 2006, 2009, 2012, 2015, 2018",1,1,1,1
MHL,Marshall Islands,NA,NA,NA,NA,0,0,0,0
MRT,Mauritania,"1995, 2000, 2004, 2007, 2011, 2015, 2019","1995, 2000, 2004, 2007, 2011, 2015, 2019","1995, 2000, 2004, 2007, 2011, 2015, 2019","1995, 2000, 2004, 2007, 2011, 2015, 2019",1,1,0.6,0.6
MUS,Mauritius,NA,NA,NA,NA,0,0,0,0
MEX,Mexico,"1987, 2015","1987, 2015","1987, 2015","1987, 2015",0.3,0.3,0.3,0.3
FSM,"Micronesia, Fed. Sts.",NA,NA,NA,NA,0,0,0,0
MDA,Moldova,"2000, 2005, 2012","2000, 2005, 2012","2000, 2005, 2012","2000, 2005, 2012",0.3,0.3,0.3,0.3
MNG,Mongolia,"1996, 2000, 2005, 2010, 2013, 2018","1996, 2000, 2005, 2010, 2013, 2018","1996, 2000, 2005, 2010, 2013, 2018","1996, 2000, 2005, 2010, 2013, 2018",0.6,0.6,0.6,1
MNE,Montenegro,"2005, 2013, 2018","2005, 2013, 2018","2005, 2013, 2018","2005, 2013, 2018",0.3,0.3,0.3,0.6
MAR,Morocco,"1987, 1992, 1995, 2003","1987, 1992, 1995, 2003","1987, 1992, 1995, 2003","1987, 1992, 1995, 2003",0,0,0,0
MOZ,Mozambique,"1995, 1997, 2004, 2008, 2011","1995, 1997, 2004, 2008, 2011","1995, 1997, 2004, 2008, 2011","1995, 1997, 2004, 2008, 2011",0.6,0.6,0.6,0.3
MMR,Myanmar,"1995, 2000, 2009, 2015","1995, 2000, 2009, 2015","1995, 2000, 2009, 2015","1995, 2000, 2009, 2015",0.6,0.6,0.6,0.6
NAM,Namibia,"1992, 2000, 2006, 2013","1992, 2000, 2006, 2013","1992, 2000, 2006, 2013","1992, 2000, 2006, 2013",0.6,0.3,0.3,0.3
NRU,Nauru,NA,NA,NA,NA,0,0,0,0
NPL,Nepal,"1995, 1996, 2001, 2006, 2011, 2014, 2016, 2019","1995, 1996, 2001, 2006, 2011, 2014, 2016, 2019","1995, 1996, 2001, 2006, 2011, 2014, 2016, 2019","1995, 1996, 2001, 2006, 2011, 2014, 2016, 2019",1,1,1,1
NIC,Nicaragua,"1998, 2001","1998, 2001","1998, 2001","1998, 2001",0,0,0,0
NER,Niger,"1992, 1996, 1998, 2000, 2006, 2012, 2017","1992, 1996, 1998, 2000, 2006, 2012, 2017","1992, 1996, 1998, 2000, 2006, 2012, 2017","1992, 1996, 1998, 2000, 2006, 2012, 2017",0.6,0.3,0.6,0.6
NGA,Nigeria,"1990, 1995, 1999, 2003, 2007, 2008, 2011, 2013, 2014, 2015, 2016, 2018","1990, 1995, 1999, 2003, 2007, 2008, 2011, 2013, 2014, 2015, 2016, 2018","1990, 1995, 1999, 2003, 2007, 2008, 2011, 2013, 2014, 2015, 2016, 2018","1990, 1995, 1999, 2003, 2007, 2008, 2011, 2013, 2014, 2015, 2016, 2018",1,1,1,1
MKD,North Macedonia,"1999, 2005, 2011, 2018","1999, 2005, 2011, 2018","1999, 2005, 2011, 2018","1999, 2005, 2011, 2018",0.3,0.3,0.3,0.6
PAK,Pakistan,"1990, 1995, 2006, 2012, 2017","1990, 1995, 2006, 2012, 2017","1990, 1995, 2006, 2012, 2017","1990, 1995, 2006, 2012, 2017",0.6,0.3,0.6,0.6
PLW,Palau,NA,NA,NA,NA,0,0,0,0
PAN,Panama,"1996, 2013","1996, 2013","1996, 2013","1996, 2013",0.3,0.3,0.3,0.3
PNG,Papua New Guinea,2016,2016,2016,2016,0,0.3,0.3,0.3
PRY,Paraguay,"1990, 2016","1990, 2016","1990, 2016","1990, 2016",0,0.3,0.3,0.3
PER,Peru,"1986, 1991, 1996, 2000, 2018","1986, 1991, 1996, 2000, 2018","1986, 1991, 1996, 2000, 2018","1986, 1991, 1996, 2000, 2018",0,0,0,0.3
PHL,Philippines,"1993, 1996, 1998, 1999, 2003, 2008, 2013, 2017","1993, 1996, 1998, 1999, 2003, 2008, 2013, 2017","1993, 1996, 1998, 1999, 2003, 2008, 2013, 2017","1993, 1996, 1998, 1999, 2003, 2008, 2013, 2017",0.6,0.6,1,0.6
POL,Poland,NA,NA,NA,NA,0,0,0,0
ROU,Romania,NA,NA,NA,NA,0,0,0,0
RUS,Russian Federation,NA,NA,NA,NA,0,0,0,0
RWA,Rwanda,"1992, 2000, 2005, 2010, 2014, 2019","1992, 2000, 2005, 2010, 2014, 2019","1992, 2000, 2005, 2010, 2014, 2019","1992, 2000, 2005, 2010, 2014, 2019",0.6,0.6,0.6,0.6
WSM,Samoa,"2009, 2019","2009, 2019","2009, 2019","2009, 2019",0.3,0.3,0.3,0.3
STP,Sao Tome and Principe,"1996, 2000, 2006, 2008, 2014, 2019","1996, 2000, 2006, 2008, 2014, 2019","1996, 2000, 2006, 2008, 2014, 2019","1996, 2000, 2006, 2008, 2014, 2019",1,0.6,0.6,0.3
SEN,Senegal,"1986, 1992, 1996, 1997, 1999, 2000, 2005, 2010","1986, 1992, 1996, 1997, 1999, 2000, 2005, 2010","1986, 1992, 1996, 1997, 1999, 2000, 2005, 2010","1986, 1992, 1996, 1997, 1999, 2000, 2005, 2010",0.3,0.3,0.3,0.3
SRB,Serbia,"2005, 2010, 2014, 2019","2005, 2010, 2014, 2019","2005, 2010, 2014, 2019","2005, 2010, 2014, 2019",0.6,0.6,0.6,0.6
SYC,Seychelles,NA,NA,NA,NA,0,0,0,0
SLE,Sierra Leone,"1995, 2000, 2005, 2008, 2010, 2013, 2017, 2019","1995, 2000, 2005, 2008, 2010, 2013, 2017, 2019","1995, 2000, 2005, 2008, 2010, 2013, 2017, 2019","1995, 2000, 2005, 2008, 2010, 2013, 2017, 2019",1,1,1,1
SLB,Solomon Islands,NA,NA,NA,NA,0,0,0,0
SOM,Somalia,"2000, 2006","2000, 2006","2000, 2006","2000, 2006",0.3,0,0,0
ZAF,South Africa,"1998, 2003, 2016","1998, 2003, 2016","1998, 2003, 2016","1998, 2003, 2016",0,0.3,0.3,0.3
SSD,South Sudan,2010,2010,2010,2010,0.3,0.3,0.3,0.3
LKA,Sri Lanka,"1987, 2006","1987, 2006","1987, 2006","1987, 2006",0.3,0,0,0
KNA,St. Kitts and Nevis,NA,NA,NA,NA,0,0,0,0
LCA,St. Lucia,2012,2012,2012,2012,0.3,0.3,0.3,0.3
VCT,St. Vincent and the Grenadines,NA,NA,NA,NA,0,0,0,0
SDN,Sudan,"1989, 1995, 2000, 2010, 2014","1989, 1995, 2000, 2010, 2014","1989, 1995, 2000, 2010, 2014","1989, 1995, 2000, 2010, 2014",0.6,0.6,0.6,0.6
SUR,Suriname,"1999, 2006, 2010, 2018","1999, 2006, 2010, 2018","1999, 2006, 2010, 2018","1999, 2006, 2010, 2018",0.6,0.3,0.3,0.6
SYR,Syrian Arab Republic,"1995, 2000, 2006","1995, 2000, 2006","1995, 2000, 2006","1995, 2000, 2006",0.3,0,0,0
TJK,Tajikistan,"2000, 2005, 2012, 2017","2000, 2005, 2012, 2017","2000, 2005, 2012, 2017","2000, 2005, 2012, 2017",0.3,0.3,0.6,0.6
TZA,Tanzania,"1991, 1996, 1999, 2004, 2010, 2015","1991, 1996, 1999, 2004, 2010, 2015","1991, 1996, 1999, 2004, 2010, 2015","1991, 1996, 1999, 2004, 2010, 2015",0.6,0.6,0.6,0.6
THA,Thailand,"1987, 2005, 2012, 2015, 2019","1987, 2005, 2012, 2015, 2019","1987, 2005, 2012, 2015, 2019","1987, 2005, 2012, 2015, 2019",0.6,0.6,0.6,0.6
TLS,Timor-Leste,"2009, 2016","2009, 2016","2009, 2016","2009, 2016",0.3,0.6,0.6,0.6
TGO,Togo,"1988, 1996, 1998, 2000, 2006, 2010, 2013, 2017","1988, 1996, 1998, 2000, 2006, 2010, 2013, 2017","1988, 1996, 1998, 2000, 2006, 2010, 2013, 2017","1988, 1996, 1998, 2000, 2006, 2010, 2013, 2017",1,0.6,1,1
TON,Tonga,2019,2019,2019,2019,0,0,0,0
TTO,Trinidad and Tobago,"1987, 2000, 2006, 2011","1987, 2000, 2006, 2011","1987, 2000, 2006, 2011","1987, 2000, 2006, 2011",0.6,0.3,0.3,0.3
TUN,Tunisia,"1988, 2000, 2006, 2011, 2018","1988, 2000, 2006, 2011, 2018","1988, 2000, 2006, 2011, 2018","1988, 2000, 2006, 2011, 2018",0.6,0.3,0.3,0.6
TUR,Turkey,"1993, 1995, 1998, 2004, 2008, 2012, 2013, 2014, 2016, 2018","1993, 1995, 1998, 2004, 2008, 2012, 2013, 2014, 2016, 2018","1993, 1995, 1998, 2004, 2008, 2012, 2013, 2014, 2016, 2018","1993, 1995, 1998, 2004, 2008, 2012, 2013, 2014, 2016, 2018",1,1,1,1
TKM,Turkmenistan,"1996, 2000, 2006, 2015, 2019","1996, 2000, 2006, 2015, 2019","1996, 2000, 2006, 2015, 2019","1996, 2000, 2006, 2015, 2019",0.6,0.3,0.3,0.3
TUV,Tuvalu,2019,2019,2019,2019,0,0,0,0
UGA,Uganda,"1988, 1995, 2000, 2006, 2011, 2016","1988, 1995, 2000, 2006, 2011, 2016","1988, 1995, 2000, 2006, 2011, 2016","1988, 1995, 2000, 2006, 2011, 2016",0.6,0.6,0.6,0.6
UKR,Ukraine,"2000, 2005, 2007, 2012","2000, 2005, 2007, 2012","2000, 2005, 2007, 2012","2000, 2005, 2007, 2012",0.6,0.6,0.3,0.3
URY,Uruguay,2012,2012,2012,2012,0.3,0.3,0.3,0.3
UZB,Uzbekistan,"1996, 2000, 2002, 2006","1996, 2000, 2002, 2006","1996, 2000, 2002, 2006","1996, 2000, 2002, 2006",0.3,0,0,0
VUT,Vanuatu,"2007, 2013","2007, 2013","2007, 2013","2007, 2013",0.6,0.6,0.3,0.3
VEN,"Venezuela, RB",2000,2000,2000,2000,0,0,0,0
VNM,Vietnam,"1996, 1997, 2000, 2002, 2006, 2010, 2013","1996, 1997, 2000, 2002, 2006, 2010, 2013","1996, 1997, 2000, 2002, 2006, 2010, 2013","1996, 1997, 2000, 2002, 2006, 2010, 2013",1,0.6,0.6,0.6
PSE,West Bank and Gaza,"1996, 2000, 2004, 2010, 2014, 2019","1996, 2000, 2004, 2010, 2014, 2019","1996, 2000, 2004, 2010, 2014, 2019","1996, 2000, 2004, 2010, 2014, 2019",0.6,0.6,0.6,0.6
YEM,"Yemen, Rep.","1991, 1996, 1997, 2006, 2013","1991, 1996, 1997, 2006, 2013","1991, 1996, 1997, 2006, 2013","1991, 1996, 1997, 2006, 2013",0.6,0.3,0.3,0.3
ZMB,Zambia,"1992, 1995, 1997, 1999, 2001, 2007, 2013, 2018","1992, 1995, 1997, 1999, 2001, 2007, 2013, 2018","1992, 1995, 1997, 1999, 2001, 2007, 2013, 2018","1992, 1995, 1997, 1999, 2001, 2007, 2013, 2018",0.6,0.6,0.3,0.6
ZWE,Zimbabwe,"1989, 1994, 1999, 2005, 2009, 2010, 2014, 2015, 2019","1989, 1994, 1999, 2005, 2009, 2010, 2014, 2015, 2019","1989, 1994, 1999, 2005, 2009, 2010, 2014, 2015, 2019","1989, 1994, 1999, 2005, 2009, 2010, 2014, 2015, 2019",1,1,1,1
