iso3c,country,SPI.OVRL.SCR_2016,SPI.OVRL.SCR_2017,SPI.OVRL.SCR_2018,SPI.OVRL.SCR_2019,SPI.D1.MSC_2016,SPI.D1.MSC_2017,SPI.D1.MSC_2018,SPI.D1.MSC_2019,SPI.D2.CS_2016,SPI.D2.CS_2017,SPI.D2.CS_2018,SPI.D2.CS_2019,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019,SPI.D4.DPO_2016,SPI.D4.DPO_2017,SPI.D4.DPO_2018,SPI.D4.DPO_2019
BRB,Barbados,NA,NA,NA,NA,33.33333333333333,33.33333333333333,33.33333333333333,NA,NA,NA,NA,NA,30,26.666666666666668,23.333333333333332,NA,0,0,0,NA
BRN,Brunei Darussalam,NA,NA,NA,NA,37.5,41.66666666666667,45.83333333333333,NA,NA,NA,NA,NA,40,40,46.666666666666664,NA,57.14285714285714,57.14285714285714,57.14285714285714,NA
BTN,Bhutan,36.964285714285715,37.79761904761905,40.089285714285715,42.85714285714286,20.833333333333336,20.833333333333336,20.833333333333336,16.666666666666664,37.5,37.5,50,50,46.666666666666664,50,46.666666666666664,33.333333333333336,42.857142857142854,42.857142857142854,42.857142857142854,71.42857142857143
BWA,Botswana,40.32738095238095,39.70238095238095,46.84523809523809,46.22023809523809,29.166666666666668,33.33333333333333,33.33333333333333,37.5,25,25,25,25,50,43.333333333333336,43.333333333333336,36.666666666666664,57.14285714285714,57.14285714285714,85.71428571428571,85.71428571428571
CAF,Central African Republic,9.166666666666666,9.166666666666666,12.738095238095237,12.113095238095239,16.666666666666664,16.666666666666664,16.666666666666664,20.833333333333336,0,0,0,0,20,20,20,13.333333333333334,0,0,14.285714285714285,14.285714285714285
CAN,Canada,NA,NA,NA,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,NA,NA,NA,NA,60,60,60,NA,85.71428571428571,85.71428571428571,100,NA
CHE,Switzerland,NA,NA,NA,NA,75,75,75,NA,NA,NA,NA,NA,66.66666666666667,66.66666666666667,66.66666666666667,NA,71.42857142857143,71.42857142857143,85.71428571428571,NA
CHL,Chile,63.48214285714286,66.60714285714286,72.70833333333334,71.45833333333333,62.5,62.5,70.83333333333334,79.16666666666666,50,62.5,50,50,70,70,70,56.666666666666664,71.42857142857143,71.42857142857143,100,100
CHN,China,54.52380952380952,54.73214285714286,55.77380952380952,56.19047619047619,45.83333333333333,50,54.166666666666664,62.5,37.5,37.5,37.5,37.5,63.333333333333336,60,60,53.333333333333336,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143
CIV,Cote d'Ivoire,30.059523809523807,32.14285714285714,40.32738095238095,35.11904761904762,16.666666666666664,25,29.166666666666668,25,25,25,25,25,50,50,50,33.333333333333336,28.57142857142857,28.57142857142857,57.14285714285714,57.14285714285714
CMR,Cameroon,29.434523809523807,26.309523809523807,25.476190476190474,30.50595238095238,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,12.5,0,0,12.5,43.333333333333336,43.333333333333336,40,33.333333333333336,28.57142857142857,28.57142857142857,28.57142857142857,42.857142857142854
COD,"Congo, Dem. Rep.",17.083333333333332,13.958333333333332,18.57142857142857,16.904761904761905,16.666666666666664,16.666666666666664,20.833333333333336,20.833333333333336,25,12.5,12.5,12.5,26.666666666666668,26.666666666666668,26.666666666666668,20,0,0,14.285714285714285,14.285714285714285
COG,"Congo, Rep.",21.875,19.791666666666668,20.23809523809524,18.57142857142857,29.166666666666668,20.833333333333336,20.833333333333336,20.833333333333336,25,25,12.5,12.5,33.333333333333336,33.333333333333336,33.333333333333336,26.666666666666668,0,0,14.285714285714285,14.285714285714285
COL,Colombia,72.91666666666667,69.79166666666667,68.75,69.16666666666666,50,50,45.83333333333333,54.166666666666664,75,62.5,62.5,62.5,66.66666666666667,66.66666666666667,66.66666666666667,60,100,100,100,100
COM,Comoros,11.875,11.875,21.517857142857142,24.464285714285715,20.833333333333336,20.833333333333336,25,29.166666666666668,0,0,12.5,12.5,26.666666666666668,26.666666666666668,20,13.333333333333334,0,0,28.57142857142857,42.857142857142854
CPV,Cabo Verde,48.89880952380952,48.06547619047619,51.42857142857143,49.76190476190476,33.33333333333333,33.33333333333333,29.166666666666668,29.166666666666668,37.5,37.5,37.5,37.5,53.333333333333336,50,53.333333333333336,46.666666666666664,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
CRI,Costa Rica,72.08333333333334,75.20833333333334,78.33333333333334,76.875,58.333333333333336,70.83333333333334,70.83333333333334,75,50,50,62.5,62.5,80,80,80,70,100,100,100,100
CYP,Cyprus,NA,NA,NA,NA,83.33333333333334,83.33333333333334,87.5,NA,NA,NA,NA,NA,56.666666666666664,56.666666666666664,56.666666666666664,NA,42.857142857142854,42.857142857142854,71.42857142857143,NA
CZE,Czech Republic,NA,NA,NA,NA,83.33333333333334,87.5,87.5,NA,NA,NA,NA,NA,66.66666666666667,66.66666666666667,66.66666666666667,NA,42.857142857142854,42.857142857142854,100,NA
DEU,Germany,NA,NA,NA,NA,87.5,87.5,87.5,NA,NA,NA,NA,NA,66.66666666666667,66.66666666666667,66.66666666666667,NA,71.42857142857143,71.42857142857143,100,NA
DJI,Djibouti,13.541666666666668,16.458333333333332,26.93452380952381,26.30952380952381,8.333333333333332,16.666666666666664,20.833333333333336,25,12.5,12.5,25,25,33.333333333333336,36.666666666666664,33.333333333333336,26.666666666666668,0,0,28.57142857142857,28.57142857142857
DMA,Dominica,20.416666666666664,19.375,19.375,16.875,45.83333333333333,41.66666666666667,41.66666666666667,41.66666666666667,12.5,12.5,12.5,12.5,23.333333333333332,23.333333333333332,23.333333333333332,13.333333333333334,0,0,0,0
DNK,Denmark,NA,NA,NA,NA,83.33333333333334,83.33333333333334,83.33333333333334,NA,NA,NA,NA,NA,66.66666666666667,66.66666666666667,66.66666666666667,NA,57.14285714285714,57.14285714285714,71.42857142857143,NA
DOM,Dominican Republic,54.49404761904761,54.49404761904761,52.85714285714286,49.70238095238095,54.166666666666664,54.166666666666664,45.83333333333333,54.166666666666664,50,50,37.5,37.5,56.666666666666664,56.666666666666664,56.666666666666664,50,57.14285714285714,57.14285714285714,71.42857142857143,57.14285714285714
DZA,Algeria,27.738095238095234,27.738095238095234,37.82738095238095,34.285714285714285,25,25,29.166666666666668,37.5,25,25,25,12.5,46.666666666666664,46.666666666666664,40,30,14.285714285714285,14.285714285714285,57.14285714285714,57.14285714285714
ECU,Ecuador,64.31547619047619,64.31547619047619,66.84523809523809,65.17857142857143,50,50,45.83333333333333,45.83333333333333,62.5,62.5,62.5,62.5,73.33333333333333,73.33333333333333,73.33333333333333,66.66666666666667,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
EGY,"Egypt, Arab Rep.",60.35714285714286,55.56547619047619,62.26190476190476,60.59523809523809,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,50,37.5,50,50,53.333333333333336,46.666666666666664,46.666666666666664,40,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
ERI,Eritrea,3.75,3.75,3.75,2.083333333333333,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,0,0,0,0,6.666666666666667,6.666666666666667,6.666666666666667,0,0,0,0,0
ESP,Spain,NA,NA,NA,NA,87.5,87.5,87.5,NA,NA,NA,NA,NA,66.66666666666667,66.66666666666667,66.66666666666667,NA,85.71428571428571,85.71428571428571,85.71428571428571,NA
EST,Estonia,NA,NA,NA,NA,83.33333333333334,83.33333333333334,83.33333333333334,NA,NA,NA,NA,NA,66.66666666666667,63.333333333333336,63.333333333333336,NA,85.71428571428571,85.71428571428571,100,NA
ETH,Ethiopia,31.07142857142857,30.238095238095234,37.82738095238095,33.035714285714285,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,50,50,37.5,25,43.333333333333336,40,40,33.333333333333336,14.285714285714285,14.285714285714285,57.14285714285714,57.14285714285714
FIN,Finland,NA,NA,NA,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,NA,NA,NA,NA,66.66666666666667,66.66666666666667,66.66666666666667,NA,71.42857142857143,71.42857142857143,100,NA
FJI,Fiji,36.72619047619048,39.85119047619048,48.27380952380952,44.345238095238095,37.5,50,54.166666666666664,50,37.5,37.5,37.5,25,43.333333333333336,43.333333333333336,30,16.666666666666668,28.57142857142857,28.57142857142857,71.42857142857143,85.71428571428571
FRA,France,NA,NA,NA,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,NA,NA,NA,NA,66.66666666666667,66.66666666666667,66.66666666666667,NA,85.71428571428571,85.71428571428571,100,NA
FSM,"Micronesia, Fed. Sts.",17.767857142857142,20.892857142857142,24.464285714285715,22.797619047619044,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,12.5,25,25,25,13.333333333333334,13.333333333333334,13.333333333333334,6.666666666666667,28.57142857142857,28.57142857142857,42.857142857142854,42.857142857142854
GAB,Gabon,20.23809523809524,20.23809523809524,20.23809523809524,18.80952380952381,20.833333333333336,20.833333333333336,20.833333333333336,20.833333333333336,12.5,12.5,12.5,12.5,33.333333333333336,33.333333333333336,33.333333333333336,13.333333333333334,14.285714285714285,14.285714285714285,14.285714285714285,28.57142857142857
GBR,United Kingdom,NA,NA,NA,NA,75,83.33333333333334,83.33333333333334,NA,NA,NA,NA,NA,56.666666666666664,56.666666666666664,56.666666666666664,NA,85.71428571428571,85.71428571428571,100,NA
GEO,Georgia,70.14880952380952,70.14880952380952,70.14880952380952,72.05357142857143,79.16666666666666,79.16666666666666,79.16666666666666,79.16666666666666,50,50,50,50,80,80,80,73.33333333333333,71.42857142857143,71.42857142857143,71.42857142857143,85.71428571428571
GHA,Ghana,43.839285714285715,44.464285714285715,54.34523809523809,56.22023809523809,41.66666666666667,37.5,37.5,45.83333333333333,37.5,37.5,37.5,50,53.333333333333336,60,56.666666666666664,43.333333333333336,42.857142857142854,42.857142857142854,85.71428571428571,85.71428571428571
GIN,Guinea,18.779761904761905,18.779761904761905,33.06547619047619,36.60714285714286,8.333333333333332,8.333333333333332,8.333333333333332,16.666666666666664,12.5,12.5,12.5,25,40,40,40,33.333333333333336,14.285714285714285,14.285714285714285,71.42857142857143,71.42857142857143
GMB,"Gambia, The",24.404761904761905,24.404761904761905,31.54761904761905,24.375,25,25,25,33.33333333333333,25,25,25,37.5,33.333333333333336,33.333333333333336,33.333333333333336,26.666666666666668,14.285714285714285,14.285714285714285,42.857142857142854,0
GNB,Guinea-Bissau,21.279761904761905,20.23809523809524,23.80952380952381,21.69642857142857,12.5,20.833333333333336,20.833333333333336,20.833333333333336,25,12.5,12.5,25,33.333333333333336,33.333333333333336,33.333333333333336,26.666666666666668,14.285714285714285,14.285714285714285,28.57142857142857,14.285714285714285
GNQ,Equatorial Guinea,17.083333333333332,16.458333333333336,21.07142857142857,26.547619047619047,16.666666666666664,20.833333333333336,25,25,25,25,25,25,26.666666666666668,20,20,13.333333333333334,0,0,14.285714285714285,42.857142857142854
GRC,Greece,NA,NA,NA,NA,79.16666666666666,79.16666666666666,79.16666666666666,NA,NA,NA,NA,NA,66.66666666666667,66.66666666666667,66.66666666666667,NA,57.14285714285714,57.14285714285714,100,NA
GRD,Grenada,25.416666666666664,24.375,28.988095238095234,32.797619047619044,33.33333333333333,29.166666666666668,33.33333333333333,33.33333333333333,25,25,25,25,43.333333333333336,43.333333333333336,43.333333333333336,30,0,0,14.285714285714285,42.857142857142854
GTM,Guatemala,41.51785714285714,38.39285714285714,41.964285714285715,49.077380952380956,33.33333333333333,33.33333333333333,33.33333333333333,41.66666666666667,37.5,25,25,37.5,66.66666666666667,66.66666666666667,66.66666666666667,60,28.57142857142857,28.57142857142857,42.857142857142854,57.14285714285714
GUY,Guyana,24.583333333333332,19.375,26.517857142857142,27.589285714285715,33.33333333333333,25,25,25,25,12.5,12.5,12.5,40,40,40,30,0,0,28.57142857142857,42.857142857142854
HND,Honduras,43.18452380952381,43.18452380952381,50.77380952380952,48.27380952380952,37.5,37.5,37.5,37.5,50,50,37.5,37.5,56.666666666666664,56.666666666666664,56.666666666666664,46.666666666666664,28.57142857142857,28.57142857142857,71.42857142857143,71.42857142857143
HRV,Croatia,73.51190476190476,73.51190476190476,74.55357142857143,74.97023809523809,79.16666666666666,79.16666666666666,83.33333333333334,91.66666666666666,62.5,62.5,62.5,62.5,66.66666666666667,66.66666666666667,66.66666666666667,60,85.71428571428571,85.71428571428571,85.71428571428571,85.71428571428571
HTI,Haiti,19.404761904761905,19.404761904761905,28.839285714285715,23.601190476190478,20.833333333333336,20.833333333333336,20.833333333333336,20.833333333333336,12.5,12.5,25,25,30,30,26.666666666666668,20,14.285714285714285,14.285714285714285,42.857142857142854,28.57142857142857
HUN,Hungary,NA,NA,NA,NA,100,100,100,NA,NA,NA,NA,NA,66.66666666666667,66.66666666666667,66.66666666666667,NA,100,100,100,NA
IDN,Indonesia,62.85714285714286,61.81547619047619,69.16666666666666,67.5,54.166666666666664,50,54.166666666666664,54.166666666666664,62.5,62.5,62.5,62.5,63.333333333333336,63.333333333333336,60,53.333333333333336,71.42857142857143,71.42857142857143,100,100
IND,India,57.20238095238095,58.035714285714285,65.17857142857143,60.59523809523809,50,50,50,54.166666666666664,75,75,75,62.5,46.666666666666664,50,50,40,57.14285714285714,57.14285714285714,85.71428571428571,85.71428571428571
IRL,Ireland,NA,NA,NA,NA,79.16666666666666,79.16666666666666,79.16666666666666,NA,NA,NA,NA,NA,66.66666666666667,66.66666666666667,66.66666666666667,NA,71.42857142857143,71.42857142857143,85.71428571428571,NA
IRN,"Iran, Islamic Rep.",42.35119047619048,42.35119047619048,46.964285714285715,45.29761904761905,37.5,37.5,41.66666666666667,41.66666666666667,50,50,50,50,53.333333333333336,53.333333333333336,53.333333333333336,46.666666666666664,28.57142857142857,28.57142857142857,42.857142857142854,42.857142857142854
IRQ,Iraq,19.375,19.375,17.291666666666668,27.38095238095238,37.5,37.5,29.166666666666668,33.33333333333333,0,0,0,0,40,40,40,33.333333333333336,0,0,0,42.857142857142854
ISL,Iceland,NA,NA,NA,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,NA,NA,NA,NA,63.333333333333336,63.333333333333336,60,NA,57.14285714285714,57.14285714285714,85.71428571428571,NA
ISR,Israel,NA,NA,NA,NA,87.5,87.5,87.5,NA,NA,NA,NA,NA,63.333333333333336,63.333333333333336,60,NA,71.42857142857143,71.42857142857143,71.42857142857143,NA
ITA,Italy,NA,NA,NA,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,NA,NA,NA,NA,66.66666666666667,66.66666666666667,66.66666666666667,NA,71.42857142857143,71.42857142857143,85.71428571428571,NA
JAM,Jamaica,50.535714285714285,48.45238095238095,44.73214285714286,46.63690476190476,41.66666666666667,33.33333333333333,29.166666666666668,29.166666666666668,50,50,25,25,53.333333333333336,53.333333333333336,53.333333333333336,46.666666666666664,57.14285714285714,57.14285714285714,71.42857142857143,85.71428571428571
JOR,Jordan,47.82738095238095,44.70238095238095,48.69047619047619,54.166666666666664,25,25,20.833333333333336,33.33333333333333,62.5,50,62.5,50,46.666666666666664,46.666666666666664,40,33.333333333333336,57.14285714285714,57.14285714285714,71.42857142857143,100
JPN,Japan,NA,NA,NA,NA,70.83333333333334,70.83333333333334,75,NA,NA,NA,NA,NA,60,60,60,NA,42.857142857142854,42.857142857142854,85.71428571428571,NA
KAZ,Kazakhstan,68.66071428571428,65.53571428571428,65.98214285714286,62.23214285714286,75,75,75,66.66666666666666,62.5,50,37.5,37.5,80,80,80,73.33333333333333,57.14285714285714,57.14285714285714,71.42857142857143,71.42857142857143
KEN,Kenya,34.19642857142857,32.32142857142857,39.910714285714285,42.85714285714286,41.66666666666667,37.5,37.5,41.66666666666667,37.5,37.5,25,25,43.333333333333336,40,40,33.333333333333336,14.285714285714285,14.285714285714285,57.14285714285714,71.42857142857143
KGZ,Kyrgyz Republic,60.74404761904761,60.74404761904761,64.31547619047619,65.77380952380953,87.5,87.5,87.5,87.5,25,25,25,37.5,73.33333333333333,73.33333333333333,73.33333333333333,66.66666666666667,57.14285714285714,57.14285714285714,71.42857142857143,71.42857142857143
KHM,Cambodia,49.04761904761905,49.04761904761905,52.61904761904762,48.86904761904762,37.5,37.5,37.5,41.66666666666667,62.5,62.5,62.5,50,53.333333333333336,53.333333333333336,53.333333333333336,46.666666666666664,42.857142857142854,42.857142857142854,57.14285714285714,57.14285714285714
KIR,Kiribati,13.333333333333334,12.291666666666666,12.291666666666666,10.625,20.833333333333336,16.666666666666664,16.666666666666664,16.666666666666664,12.5,12.5,12.5,12.5,20,20,20,13.333333333333334,0,0,0,0
KNA,St. Kitts and Nevis,14.791666666666666,13.750000000000002,13.750000000000002,20.26785714285714,33.33333333333333,29.166666666666668,29.166666666666668,33.33333333333333,12.5,12.5,12.5,12.5,13.333333333333334,13.333333333333334,13.333333333333334,6.666666666666667,0,0,0,28.57142857142857
KOR,"Korea, Rep.",NA,NA,NA,NA,70.83333333333334,70.83333333333334,70.83333333333334,NA,NA,NA,NA,NA,60,60,60,NA,57.14285714285714,57.14285714285714,85.71428571428571,NA
KWT,Kuwait,NA,NA,NA,NA,37.5,37.5,37.5,NA,NA,NA,NA,NA,46.666666666666664,43.333333333333336,40,NA,14.285714285714285,14.285714285714285,42.857142857142854,NA
LAO,Lao PDR,23.363095238095234,22.32142857142857,40.773809523809526,41.19047619047619,8.333333333333332,16.666666666666664,20.833333333333336,29.166666666666668,37.5,25,37.5,37.5,33.333333333333336,33.333333333333336,33.333333333333336,26.666666666666668,14.285714285714285,14.285714285714285,71.42857142857143,71.42857142857143
LBN,Lebanon,22.94642857142857,22.32142857142857,29.464285714285715,29.88095238095238,25,29.166666666666668,29.166666666666668,37.5,12.5,12.5,12.5,12.5,40,33.333333333333336,33.333333333333336,26.666666666666668,14.285714285714285,14.285714285714285,42.857142857142854,42.857142857142854
LBR,Liberia,25,28.125,36.30952380952381,31.517857142857142,25,25,29.166666666666668,41.66666666666667,25,37.5,37.5,12.5,50,50,50,43.333333333333336,0,0,28.57142857142857,28.57142857142857
LBY,Libya,10,6.875000000000001,6.875000000000001,5.208333333333334,20.833333333333336,20.833333333333336,20.833333333333336,20.833333333333336,12.5,0,0,0,6.666666666666667,6.666666666666667,6.666666666666667,0,0,0,0,0
LCA,St. Lucia,37.351190476190474,36.30952380952381,36.964285714285715,32.797619047619044,33.33333333333333,29.166666666666668,33.33333333333333,33.33333333333333,37.5,37.5,25,25,50,50,46.666666666666664,30,28.57142857142857,28.57142857142857,42.857142857142854,42.857142857142854
LKA,Sri Lanka,59.94047619047619,62.02380952380952,64.76190476190476,61.42857142857143,45.83333333333333,54.166666666666664,54.166666666666664,54.166666666666664,62.5,62.5,62.5,62.5,60,60,56.666666666666664,43.333333333333336,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
LSO,Lesotho,34.851190476190474,35.89285714285714,49.73214285714286,51.19047619047619,33.33333333333333,37.5,37.5,37.5,37.5,37.5,50,62.5,40,40,40,33.333333333333336,28.57142857142857,28.57142857142857,71.42857142857143,71.42857142857143
LTU,Lithuania,NA,NA,NA,NA,100,100,100,NA,NA,NA,NA,NA,66.66666666666667,66.66666666666667,66.66666666666667,NA,57.14285714285714,57.14285714285714,100,NA
LUX,Luxembourg,NA,NA,NA,NA,83.33333333333334,83.33333333333334,83.33333333333334,NA,NA,NA,NA,NA,63.333333333333336,63.333333333333336,63.333333333333336,NA,57.14285714285714,57.14285714285714,85.71428571428571,NA
LVA,Latvia,NA,NA,NA,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,NA,NA,NA,NA,66.66666666666667,66.66666666666667,66.66666666666667,NA,85.71428571428571,85.71428571428571,85.71428571428571,NA
MAR,Morocco,45.32738095238095,52.61904761904762,51.57738095238095,50.95238095238095,33.33333333333333,50,45.83333333333333,50,37.5,50,50,50,53.333333333333336,53.333333333333336,53.333333333333336,46.666666666666664,57.14285714285714,57.14285714285714,57.14285714285714,57.14285714285714
MDA,Moldova,66.99404761904762,66.99404761904762,77.70833333333333,73.51190476190476,87.5,87.5,87.5,91.66666666666666,50,50,50,50,73.33333333333333,73.33333333333333,73.33333333333333,66.66666666666667,57.14285714285714,57.14285714285714,100,85.71428571428571
MDG,Madagascar,19.583333333333336,15.625,26.339285714285715,26.75595238095238,29.166666666666668,29.166666666666668,29.166666666666668,25,12.5,0,0,12.5,36.666666666666664,33.333333333333336,33.333333333333336,26.666666666666668,0,0,42.857142857142854,42.857142857142854
MDV,Maldives,27.11309523809524,21.875,30.059523809523807,33.21428571428571,41.66666666666667,41.66666666666667,45.83333333333333,54.166666666666664,12.5,12.5,12.5,12.5,40,33.333333333333336,33.333333333333336,23.333333333333332,14.285714285714285,0,28.57142857142857,42.857142857142854
MEX,Mexico,70.80357142857143,76.01190476190476,79.58333333333333,77.47023809523809,58.333333333333336,79.16666666666666,79.16666666666666,79.16666666666666,62.5,62.5,62.5,75,76.66666666666667,76.66666666666667,76.66666666666667,70,85.71428571428571,85.71428571428571,100,85.71428571428571
MHL,Marshall Islands,10.833333333333332,9.166666666666666,10.208333333333332,8.541666666666666,4.166666666666666,4.166666666666666,8.333333333333332,8.333333333333332,12.5,12.5,12.5,12.5,26.666666666666668,20,20,13.333333333333334,0,0,0,0
MKD,North Macedonia,59.10714285714286,62.23214285714286,61.84523809523809,60.59523809523809,54.166666666666664,66.66666666666666,66.66666666666666,75,37.5,37.5,25,25,73.33333333333333,73.33333333333333,70,56.666666666666664,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
