iso3c,country,BIZZ.CENSUS_2016,BIZZ.CENSUS_2017,BIZZ.CENSUS_2018,BIZZ.CENSUS_2019,SPI.D2.3.BIZZ_2016,SPI.D2.3.BIZZ_2017,SPI.D2.3.BIZZ_2018,SPI.D2.3.BIZZ_2019
ERI,Eritrea,NA,NA,NA,NA,0,0,0,0
SWZ,Eswatini,NA,NA,NA,NA,0,0,0,0
ETH,Ethiopia,NA,NA,NA,NA,0,0,0,0
FJI,Fiji,NA,NA,NA,NA,0,0,0,0
GAB,Gabon,NA,NA,NA,NA,0,0,0,0
GMB,"Gambia, The",NA,NA,NA,NA,0,0,0,0
GEO,Georgia,NA,NA,NA,NA,0,0,0,0
GHA,Ghana,2003,2003,2003,2003,0,0,0,0
GRD,Grenada,NA,NA,NA,NA,0,0,0,0
GTM,Guatemala,NA,NA,NA,NA,0,0,0,0
GIN,Guinea,NA,NA,NA,NA,0,0,0,0
GNB,Guinea-Bissau,NA,NA,NA,NA,0,0,0,0
GUY,Guyana,NA,NA,NA,NA,0,0,0,0
HTI,Haiti,NA,NA,NA,NA,0,0,0,0
HND,Honduras,NA,NA,NA,NA,0,0,0,0
IND,India,"2005, 2014","2005, 2014","2005, 2014","2005, 2014",1,1,1,1
IDN,Indonesia,NA,NA,NA,NA,0,0,0,0
IRN,"Iran, Islamic Rep.",NA,NA,NA,NA,0,0,0,0
IRQ,Iraq,NA,NA,NA,NA,0,0,0,0
JAM,Jamaica,NA,NA,NA,NA,0,0,0,0
JOR,Jordan,NA,NA,NA,NA,0,0,0,0
KAZ,Kazakhstan,NA,NA,NA,NA,0,0,0,0
KEN,Kenya,2010,2010,2010,2010,1,1,1,1
KIR,Kiribati,NA,NA,NA,NA,0,0,0,0
XKX,Kosovo,NA,NA,NA,NA,0,0,0,0
KGZ,Kyrgyz Republic,NA,NA,NA,NA,0,0,0,0
LAO,Lao PDR,2006,2006,2006,2006,1,0,0,0
LBN,Lebanon,NA,NA,NA,NA,0,0,0,0
LSO,Lesotho,NA,NA,NA,NA,0,0,0,0
LBR,Liberia,2008,2008,2008,2008,1,1,1,0
LBY,Libya,NA,NA,NA,NA,0,0,0,0
MDG,Madagascar,NA,NA,NA,NA,0,0,0,0
MWI,Malawi,NA,NA,NA,NA,0,0,0,0
MYS,Malaysia,2016,2016,2016,2016,0,1,1,1
MDV,Maldives,NA,NA,NA,NA,0,0,0,0
MLI,Mali,NA,NA,NA,NA,0,0,0,0
MHL,Marshall Islands,NA,NA,NA,NA,0,0,0,0
MRT,Mauritania,NA,NA,NA,NA,0,0,0,0
MUS,Mauritius,"2002, 2007, 2013","2002, 2007, 2013","2002, 2007, 2013","2002, 2007, 2013",1,1,1,1
MEX,Mexico,"1999, 2004, 2009, 2014","1999, 2004, 2009, 2014","1999, 2004, 2009, 2014","1999, 2004, 2009, 2014",1,1,1,1
FSM,"Micronesia, Fed. Sts.",NA,NA,NA,NA,0,0,0,0
MDA,Moldova,NA,NA,NA,NA,0,0,0,0
MNG,Mongolia,NA,NA,NA,NA,0,0,0,0
MNE,Montenegro,NA,NA,NA,NA,0,0,0,0
MAR,Morocco,2001,2001,2001,2001,0,0,0,0
MOZ,Mozambique,2014,2014,2014,2014,1,1,1,1
MMR,Myanmar,NA,NA,NA,NA,0,0,0,0
NAM,Namibia,NA,NA,NA,NA,0,0,0,0
NRU,Nauru,NA,NA,NA,NA,0,0,0,0
NPL,Nepal,2006,2006,2006,2006,1,0,0,0
NIC,Nicaragua,NA,NA,NA,NA,0,0,0,0
NER,Niger,NA,NA,NA,NA,0,0,0,0
NGA,Nigeria,NA,NA,NA,NA,0,0,0,0
MKD,North Macedonia,NA,NA,NA,NA,0,0,0,0
PAK,Pakistan,NA,NA,NA,NA,0,0,0,0
PLW,Palau,NA,NA,NA,NA,0,0,0,0
PAN,Panama,NA,NA,NA,NA,0,0,0,0
PNG,Papua New Guinea,NA,NA,NA,NA,0,0,0,0
PRY,Paraguay,2011,2011,2011,2011,1,1,1,1
PER,Peru,2008,2008,2008,2008,1,1,1,0
PHL,Philippines,"2006, 2012","2006, 2012","2006, 2012","2006, 2012",1,1,1,1
POL,Poland,NA,NA,NA,NA,0,0,0,0
ROU,Romania,NA,NA,NA,NA,0,0,0,0
RUS,Russian Federation,NA,NA,NA,NA,0,0,0,0
RWA,Rwanda,"2011, 2014, 2017","2011, 2014, 2017","2011, 2014, 2017","2011, 2014, 2017",1,1,1,1
WSM,Samoa,NA,NA,NA,NA,0,0,0,0
STP,Sao Tome and Principe,NA,NA,NA,NA,0,0,0,0
SEN,Senegal,NA,NA,NA,NA,0,0,0,0
SRB,Serbia,NA,NA,NA,NA,0,0,0,0
SYC,Seychelles,NA,NA,NA,NA,0,0,0,0
SLE,Sierra Leone,NA,NA,NA,NA,0,0,0,0
SLB,Solomon Islands,NA,NA,NA,NA,0,0,0,0
SOM,Somalia,NA,NA,NA,NA,0,0,0,0
ZAF,South Africa,NA,NA,NA,NA,0,0,0,0
SSD,South Sudan,NA,NA,NA,NA,0,0,0,0
LKA,Sri Lanka,"2003, 2013","2003, 2013","2003, 2013","2003, 2013",1,1,1,1
KNA,St. Kitts and Nevis,NA,NA,NA,NA,0,0,0,0
LCA,St. Lucia,NA,NA,NA,NA,0,0,0,0
VCT,St. Vincent and the Grenadines,NA,NA,NA,NA,0,0,0,0
SDN,Sudan,NA,NA,NA,NA,0,0,0,0
SUR,Suriname,NA,NA,NA,NA,0,0,0,0
SYR,Syrian Arab Republic,NA,NA,NA,NA,0,0,0,0
TJK,Tajikistan,NA,NA,NA,NA,0,0,0,0
TZA,Tanzania,NA,NA,NA,NA,0,0,0,0
THA,Thailand,2012,2012,2012,2012,1,1,1,1
TLS,Timor-Leste,NA,NA,NA,NA,0,0,0,0
TGO,Togo,2017,2017,2017,2017,0,0,1,1
TON,Tonga,NA,NA,NA,NA,0,0,0,0
TTO,Trinidad and Tobago,NA,NA,NA,NA,0,0,0,0
TUN,Tunisia,NA,NA,NA,NA,0,0,0,0
TUR,Turkey,NA,NA,NA,NA,0,0,0,0
TKM,Turkmenistan,NA,NA,NA,NA,0,0,0,0
TUV,Tuvalu,NA,NA,NA,NA,0,0,0,0
UGA,Uganda,NA,NA,NA,NA,0,0,0,0
UKR,Ukraine,NA,NA,NA,NA,0,0,0,0
URY,Uruguay,2008,2008,2008,2008,1,1,1,0
UZB,Uzbekistan,NA,NA,NA,NA,0,0,0,0
VUT,Vanuatu,NA,NA,NA,NA,0,0,0,0
VEN,"Venezuela, RB",NA,NA,NA,NA,0,0,0,0
VNM,Vietnam,"2007, 2012, 2017","2007, 2012, 2017","2007, 2012, 2017","2007, 2012, 2017",1,1,1,1
PSE,West Bank and Gaza,"2004, 2007, 2012, 2017","2004, 2007, 2012, 2017","2004, 2007, 2012, 2017","2004, 2007, 2012, 2017",1,1,1,1
YEM,"Yemen, Rep.",NA,NA,NA,NA,0,0,0,0
ZMB,Zambia,NA,NA,NA,NA,0,0,0,0
ZWE,Zimbabwe,2013,2013,2013,2013,1,1,1,1
