REF_AREA,INDICATOR,SEX,SERIES_NAME,SERIES_YEAR,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,SERIES_CATEGORY,SERIES_TYPE,STD_ERR,REF_DATE,AGE_GROUP_OF_WOMEN,TIME_SINCE_FIRST_BIRTH,INTERVAL,SERIES_METHOD,LOWER_BOUND,UPPER_BOUND,MODEL,date,country,D3.CHLD.MORT
Bolivia (Plurinational State of),Under-five mortality rate,Total,Demographic and Health Survey 2016 (Direct),2016,2004-01,45.20873,Included in IGME,Deaths per 1000 live births,NDHS,Direct,4.014313,2004,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Bolivia (Plurinational State of),45.20873
Bolivia (Plurinational State of),Under-five mortality rate,Total,Demographic and Health Survey 2016 (Direct),2016,1999-01,58.92583,Included in IGME,Deaths per 1000 live births,NDHS,Direct,5.020415,1999,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Bolivia (Plurinational State of),58.92583
Bolivia (Plurinational State of),Under-five mortality rate,Total,Demographic and Health Survey 2016 (Direct),2016,1994-01,87.03498,Included in IGME,Deaths per 1000 live births,NDHS,Direct,8.097316,1994,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Bolivia (Plurinational State of),87.03498
Brazil,Under-five mortality rate,Total,Pesquisa Nacional por Amostra de Domicilios 2013 (Indirect),2013,2009-02,29.416,Included in IGME,Deaths per 1000 live births,Others,Indirect,NA,2009.1,25 to 29 years old,NA,1,Survey/Census with Summary Birth Histories,NA,NA,NA,2013,Brazil,29.416
Brazil,Under-five mortality rate,Total,Pesquisa Nacional por Amostra de Domicilios 2013 (Indirect),2013,2007-02,30.25,Included in IGME,Deaths per 1000 live births,Others,Indirect,NA,2007.1,30 to 34 years old,NA,1,Survey/Census with Summary Birth Histories,NA,NA,NA,2013,Brazil,30.25
Brazil,Under-five mortality rate,Total,Pesquisa Nacional por Amostra de Domicilios 2013 (Indirect),2013,2004-10,39.925,Included in IGME,Deaths per 1000 live births,Others,Indirect,NA,2004.8,35 to 39 years old,NA,1,Survey/Census with Summary Birth Histories,NA,NA,NA,2013,Brazil,39.925
Brazil,Under-five mortality rate,Total,Pesquisa Nacional por Amostra de Domicilios 2013 (Indirect),2013,2002-05,43.647,Included in IGME,Deaths per 1000 live births,Others,Indirect,NA,2002.4,40 to 44 years old,NA,1,Survey/Census with Summary Birth Histories,NA,NA,NA,2013,Brazil,43.647
Brazil,Under-five mortality rate,Total,Pesquisa Nacional por Amostra de Domicilios 2013 (Indirect),2013,1999-07,52.15,Included in IGME,Deaths per 1000 live births,Others,Indirect,NA,1999.5,45 to 49 years old,NA,1,Survey/Census with Summary Birth Histories,NA,NA,NA,2013,Brazil,52.15
Brazil,Under-five mortality rate,Total,Pesquisa Nacional por Amostra de Domicilios 2014 (Indirect),2014,2010-02,30.05,Included in IGME,Deaths per 1000 live births,Others,Indirect,NA,2010.1,25 to 29 years old,NA,1,Survey/Census with Summary Birth Histories,NA,NA,NA,2014,Brazil,30.05
Brazil,Under-five mortality rate,Total,Pesquisa Nacional por Amostra de Domicilios 2014 (Indirect),2014,2008-02,27.906,Included in IGME,Deaths per 1000 live births,Others,Indirect,NA,2008.1,30 to 34 years old,NA,1,Survey/Census with Summary Birth Histories,NA,NA,NA,2014,Brazil,27.906
Brazil,Under-five mortality rate,Total,Pesquisa Nacional por Amostra de Domicilios 2014 (Indirect),2014,2005-11,31.353,Included in IGME,Deaths per 1000 live births,Others,Indirect,NA,2005.9,35 to 39 years old,NA,1,Survey/Census with Summary Birth Histories,NA,NA,NA,2014,Brazil,31.353
Brazil,Under-five mortality rate,Total,Pesquisa Nacional por Amostra de Domicilios 2014 (Indirect),2014,2003-07,39.499,Included in IGME,Deaths per 1000 live births,Others,Indirect,NA,2003.5,40 to 44 years old,NA,1,Survey/Census with Summary Birth Histories,NA,NA,NA,2014,Brazil,39.499
Brazil,Under-five mortality rate,Total,Pesquisa Nacional por Amostra de Domicilios 2014 (Indirect),2014,2000-08,49.138,Included in IGME,Deaths per 1000 live births,Others,Indirect,NA,2000.6,45 to 49 years old,NA,1,Survey/Census with Summary Birth Histories,NA,NA,NA,2014,Brazil,49.138
Brazil,Under-five mortality rate,Total,Pesquisa Nacional por Amostra de Domicilios 2015 (Indirect),2015,2011-02,24.722,Included in IGME,Deaths per 1000 live births,Others,Indirect,NA,2011.1,25 to 29 years old,NA,1,Survey/Census with Summary Birth Histories,NA,NA,NA,2015,Brazil,24.722
Brazil,Under-five mortality rate,Total,Pesquisa Nacional por Amostra de Domicilios 2015 (Indirect),2015,2009-01,23.427,Included in IGME,Deaths per 1000 live births,Others,Indirect,NA,2009,30 to 34 years old,NA,1,Survey/Census with Summary Birth Histories,NA,NA,NA,2015,Brazil,23.427
Brazil,Under-five mortality rate,Total,Pesquisa Nacional por Amostra de Domicilios 2015 (Indirect),2015,2006-09,31.556,Included in IGME,Deaths per 1000 live births,Others,Indirect,NA,2006.7,35 to 39 years old,NA,1,Survey/Census with Summary Birth Histories,NA,NA,NA,2015,Brazil,31.556
Brazil,Under-five mortality rate,Total,Pesquisa Nacional por Amostra de Domicilios 2015 (Indirect),2015,2004-03,33.851,Included in IGME,Deaths per 1000 live births,Others,Indirect,NA,2004.2,40 to 44 years old,NA,1,Survey/Census with Summary Birth Histories,NA,NA,NA,2015,Brazil,33.851
Brazil,Under-five mortality rate,Total,Pesquisa Nacional por Amostra de Domicilios 2015 (Indirect),2015,2001-05,43.688,Included in IGME,Deaths per 1000 live births,Others,Indirect,NA,2001.4,45 to 49 years old,NA,1,Survey/Census with Summary Birth Histories,NA,NA,NA,2015,Brazil,43.688
Burkina Faso,Under-five mortality rate,Total,L Enquete sur le Module Demographie et Sante 2015 (Direct),2015,2012-07,81.61,Included in IGME,Deaths per 1000 live births,Others,Direct,NA,2012.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Burkina Faso,81.61
Burkina Faso,Under-five mortality rate,Total,L Enquete sur le Module Demographie et Sante 2015 (Direct),2015,2007-07,102.07,Included in IGME,Deaths per 1000 live births,Others,Direct,NA,2007.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Burkina Faso,102.07
Burkina Faso,Under-five mortality rate,Total,L Enquete sur le Module Demographie et Sante 2015 (Direct),2015,2002-07,137.9,Included in IGME,Deaths per 1000 live births,Others,Direct,NA,2002.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Burkina Faso,137.9
Burkina Faso,Under-five mortality rate,Total,L Enquete sur le Module Demographie et Sante 2015 (Direct),2015,1997-07,137.98,Included in IGME,Deaths per 1000 live births,Others,Direct,NA,1997.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Burkina Faso,137.98
Burkina Faso,Under-five mortality rate,Total,L Enquete sur le Module Demographie et Sante 2015 (Direct),2015,1992-07,183.87,Included in IGME,Deaths per 1000 live births,Others,Direct,NA,1992.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Burkina Faso,183.87
Burkina Faso,Under-five mortality rate,Total,Malaria Indicator Survey 2014 (Indirect),2014,2010-06,143.6272,Included in IGME,Deaths per 1000 live births,MIS,Indirect,9.000407,2010.432,25 to 29 years old,NA,NA,Survey/Census with Summary Birth Histories,NA,NA,NA,2014,Burkina Faso,143.6272
Burkina Faso,Under-five mortality rate,Total,Malaria Indicator Survey 2014 (Indirect),2014,2008-02,160.0558,Included in IGME,Deaths per 1000 live births,MIS,Indirect,7.579911,2008.148,30 to 34 years old,NA,NA,Survey/Census with Summary Birth Histories,NA,NA,NA,2014,Burkina Faso,160.0558
Burkina Faso,Under-five mortality rate,Total,Malaria Indicator Survey 2014 (Indirect),2014,2005-08,160.489,Included in IGME,Deaths per 1000 live births,MIS,Indirect,7.728637,2005.61,35 to 39 years old,NA,NA,Survey/Census with Summary Birth Histories,NA,NA,NA,2014,Burkina Faso,160.489
Burkina Faso,Under-five mortality rate,Total,Malaria Indicator Survey 2014 (Indirect),2014,2002-11,170.8002,Included in IGME,Deaths per 1000 live births,MIS,Indirect,8.622362,2002.899,40 to 44 years old,NA,NA,Survey/Census with Summary Birth Histories,NA,NA,NA,2014,Burkina Faso,170.8002
Burkina Faso,Under-five mortality rate,Total,Malaria Indicator Survey 2014 (Indirect),2014,2000-01,166.839,Included in IGME,Deaths per 1000 live births,MIS,Indirect,8.031986,2000.022,45 to 49 years old,NA,NA,Survey/Census with Summary Birth Histories,NA,NA,NA,2014,Burkina Faso,166.839
Cambodia,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2011-07,38.37,Included in IGME,Deaths per 1000 live births,DHS,Direct,4.17,2011.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Cambodia,38.37
Cambodia,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2006-07,60.7,Included in IGME,Deaths per 1000 live births,DHS,Direct,5.27,2006.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Cambodia,60.7
Cambodia,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2001-07,84.61,Included in IGME,Deaths per 1000 live births,DHS,Direct,6.16,2001.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Cambodia,84.61
Cambodia,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,1996-07,104.55,Included in IGME,Deaths per 1000 live births,DHS,Direct,6.95,1996.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Cambodia,104.55
Cambodia,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,1991-07,108.87,Included in IGME,Deaths per 1000 live births,DHS,Direct,9.43,1991.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Cambodia,108.87
Cameroon,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2014 (Direct),2014,2013-07,100.8908,Included in IGME,Deaths per 1000 live births,MICS,Direct,10.03279,2013.5,NA,NA,1,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Cameroon,100.8908
Cameroon,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2014 (Direct),2014,2012-07,93.22843,Included in IGME,Deaths per 1000 live births,MICS,Direct,8.56403,2012.5,NA,NA,1,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Cameroon,93.22843
Cameroon,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2014 (Direct),2014,2011-07,99.12287,Included in IGME,Deaths per 1000 live births,MICS,Direct,8.654287,2011.5,NA,NA,1,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Cameroon,99.12287
Cameroon,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2014 (Direct),2014,2010-07,110.0152,Included in IGME,Deaths per 1000 live births,MICS,Direct,9.303611,2010.5,NA,NA,1,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Cameroon,110.0152
Cameroon,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2014 (Direct),2014,2008-07,119.7279,Included in IGME,Deaths per 1000 live births,MICS,Direct,10.28124,2008.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Cameroon,119.7279
Cameroon,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2014 (Direct),2014,2005-07,134.1469,Included in IGME,Deaths per 1000 live births,MICS,Direct,9.42348,2005.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Cameroon,134.1469
Cameroon,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2014 (Direct),2014,2002-07,146.2501,Included in IGME,Deaths per 1000 live births,MICS,Direct,11.27998,2002.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Cameroon,146.2501
Cameroon,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2014 (Direct),2014,1999-07,138.1178,Included in IGME,Deaths per 1000 live births,MICS,Direct,10.12507,1999.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Cameroon,138.1178
Cameroon,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2014 (Direct),2014,1996-01,141.6126,Included in IGME,Deaths per 1000 live births,MICS,Direct,13.69995,1996,NA,NA,4,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Cameroon,141.6126
Cameroon,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2014 (Direct),2014,1991-07,149.9594,Included in IGME,Deaths per 1000 live births,MICS,Direct,15.35638,1991.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Cameroon,149.9594
Colombia,Under-five mortality rate,Total,Demographic and Health Survey 2015 (Direct),2015,2012-07,16.5,Included in IGME,Deaths per 1000 live births,DHS,Direct,1.6,2012.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Colombia,16.5
Colombia,Under-five mortality rate,Total,Demographic and Health Survey 2015 (Direct),2015,2007-07,20.9,Included in IGME,Deaths per 1000 live births,DHS,Direct,1.94,2007.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Colombia,20.9
Colombia,Under-five mortality rate,Total,Demographic and Health Survey 2015 (Direct),2015,2002-07,22.9,Included in IGME,Deaths per 1000 live births,DHS,Direct,2.14,2002.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Colombia,22.9
Colombia,Under-five mortality rate,Total,Demographic and Health Survey 2015 (Direct),2015,1997-07,25.06,Included in IGME,Deaths per 1000 live births,DHS,Direct,2.1,1997.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Colombia,25.06
Colombia,Under-five mortality rate,Total,Demographic and Health Survey 2015 (Direct),2015,1992-07,32.54,Included in IGME,Deaths per 1000 live births,DHS,Direct,2.83,1992.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Colombia,32.54
Côte d'Ivoire,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2016 (Direct),2016,2015-07,85.91,Included in IGME,Deaths per 1000 live births,MICS,Direct,6.789088,2015.5,NA,NA,1,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Côte d'Ivoire,85.91
Côte d'Ivoire,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2016 (Direct),2016,2014-07,90.32,Included in IGME,Deaths per 1000 live births,MICS,Direct,8.040367,2014.5,NA,NA,1,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Côte d'Ivoire,90.32
Côte d'Ivoire,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2016 (Direct),2016,2013-07,86.95,Included in IGME,Deaths per 1000 live births,MICS,Direct,7.95226,2013.5,NA,NA,1,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Côte d'Ivoire,86.95
Côte d'Ivoire,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2016 (Direct),2016,2012-07,87.91,Included in IGME,Deaths per 1000 live births,MICS,Direct,7.878984,2012.5,NA,NA,1,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Côte d'Ivoire,87.91
Côte d'Ivoire,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2016 (Direct),2016,2011-07,107.61,Included in IGME,Deaths per 1000 live births,MICS,Direct,9.944461,2011.5,NA,NA,1,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Côte d'Ivoire,107.61
Côte d'Ivoire,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2016 (Direct),2016,2010-07,103.36,Included in IGME,Deaths per 1000 live births,MICS,Direct,8.897042,2010.5,NA,NA,1,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Côte d'Ivoire,103.36
Côte d'Ivoire,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2016 (Direct),2016,2009-07,103.05,Included in IGME,Deaths per 1000 live births,MICS,Direct,9.140151,2009.5,NA,NA,1,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Côte d'Ivoire,103.05
Côte d'Ivoire,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2016 (Direct),2016,2008-07,113.73,Included in IGME,Deaths per 1000 live births,MICS,Direct,9.605568,2008.5,NA,NA,1,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Côte d'Ivoire,113.73
Côte d'Ivoire,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2016 (Direct),2016,2007-07,123.83,Included in IGME,Deaths per 1000 live births,MICS,Direct,11.65372,2007.5,NA,NA,1,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Côte d'Ivoire,123.83
Côte d'Ivoire,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2016 (Direct),2016,2006-01,108.6,Included in IGME,Deaths per 1000 live births,MICS,Direct,9.057402,2006,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Côte d'Ivoire,108.6
Côte d'Ivoire,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2016 (Direct),2016,2004-01,130.8,Included in IGME,Deaths per 1000 live births,MICS,Direct,10.68885,2004,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Côte d'Ivoire,130.8
Côte d'Ivoire,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2016 (Direct),2016,2002-01,129.02,Included in IGME,Deaths per 1000 live births,MICS,Direct,9.886554,2002,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Côte d'Ivoire,129.02
Côte d'Ivoire,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2016 (Direct),2016,2000-01,142.6,Included in IGME,Deaths per 1000 live births,MICS,Direct,11.90846,2000,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Côte d'Ivoire,142.6
Côte d'Ivoire,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2016 (Direct),2016,1998-01,140.8,Included in IGME,Deaths per 1000 live births,MICS,Direct,12.85405,1998,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Côte d'Ivoire,140.8
Côte d'Ivoire,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2016 (Direct),2016,1996-01,152.25,Included in IGME,Deaths per 1000 live births,MICS,Direct,14.24919,1996,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Côte d'Ivoire,152.25
Côte d'Ivoire,Under-five mortality rate,Total,Multiple Indicator Cluster Survey (MM adjusted) 2016 (Direct),2016,1993-07,154.67,Included in IGME,Deaths per 1000 live births,MICS,Direct,13.36961,1993.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Côte d'Ivoire,154.67
Dominican Republic,Under-five mortality rate,Total,Demographic and Health Survey 2013 (Direct),2013,2010-07,31.4,Included in IGME,Deaths per 1000 live births,DHS,Direct,6.6,2010.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2013,Dominican Republic,31.4
Dominican Republic,Under-five mortality rate,Total,Demographic and Health Survey 2013 (Direct),2013,2005-07,36.9,Included in IGME,Deaths per 1000 live births,DHS,Direct,5.2,2005.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2013,Dominican Republic,36.9
Dominican Republic,Under-five mortality rate,Total,Demographic and Health Survey 2013 (Direct),2013,2000-07,43.8,Included in IGME,Deaths per 1000 live births,DHS,Direct,8.4,2000.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2013,Dominican Republic,43.8
Dominican Republic,Under-five mortality rate,Total,Demographic and Health Survey 2013 (Direct),2013,1995-07,45.4,Included in IGME,Deaths per 1000 live births,DHS,Direct,7,1995.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2013,Dominican Republic,45.4
Dominican Republic,Under-five mortality rate,Total,Demographic and Health Survey 2013 (Direct),2013,1990-07,65.6,Included in IGME,Deaths per 1000 live births,DHS,Direct,14,1990.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2013,Dominican Republic,65.6
Dominican Republic,Under-five mortality rate,Total,Multiple Indicator Cluster Survey 2014 (Direct),2014,2012-01,34.65,Included in IGME,Deaths per 1000 live births,MICS,Direct,3.13,2012,NA,NA,4,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Dominican Republic,34.65
Dominican Republic,Under-five mortality rate,Total,Multiple Indicator Cluster Survey 2014 (Direct),2014,2008-01,35.29,Included in IGME,Deaths per 1000 live births,MICS,Direct,3.16,2008,NA,NA,4,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Dominican Republic,35.29
